,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
29,Maruti Swift,Maruti,2015,"79,135 km",Diesel,Manual,"EMI ₹10,961/m*",₹3.30 lakh
30,Hyundai Elite i20,Hyundai,2018,"1,00,528 km",Petrol,Manual,"EMI ₹8,675/m*",₹3.90 lakh
31,Maruti Baleno,Maruti,2019,"69,752 km",Petrol,Manual,"EMI ₹7,767/m*",₹4.40 lakh
32,Tata ALTROZ,Tata,2022,"49,986 km",Petrol,Manual,"EMI ₹10,239/m*",₹5.80 lakh
33,Maruti Swift,Maruti,2017,"1,20,150 km",CNG,Manual,"EMI ₹9,217/m*",₹3.50 lakh
34,Honda City,Honda,2015,"73,218 km",Petrol,Manual,"EMI ₹9,875/m*",₹3.75 lakh
35,Tata TIGOR,Tata,2020,"43,981 km",Petrol,Manual,"EMI ₹7,591/m*",₹4.30 lakh
36,Maruti Dzire,Maruti,2017,"88,462 km",Petrol,Manual,"EMI ₹9,091/m*",₹4.65 lakh
37,Maruti Swift,Maruti,2016,"91,835 km",CNG,Manual,"EMI ₹12,616/m*",₹3.80 lakh
38,Maruti Swift Dzire,Maruti,2015,"94,319 km",Petrol,Manual,"EMI ₹8,249/m*",₹3.13 lakh
39,Maruti Swift,Maruti,2015,"68,364 km",Petrol,Manual,"EMI ₹8,566/m*",₹3.25 lakh
40,Hyundai XCENT PRIME,Hyundai,2022,"67,422 km",CNG,Manual,"EMI ₹7,362/m*",₹4.17 lakh
41,Hyundai Eon,Hyundai,2012,"75,364 km",Petrol,Manual,"EMI ₹11,749/m*",₹1.32 lakh
42,Renault Kwid,Renault,2017,"33,082 km",Petrol,Auto,"EMI ₹5,181/m*",₹2.65 lakh
43,Hyundai AURA,Hyundai,2022,"56,765 km",CNG,Manual,"EMI ₹9,797/m*",₹5.55 lakh
44,Maruti Baleno,Maruti,2017,"40,907 km",Diesel,Manual,"EMI ₹9,498/m*",₹4.27 lakh
45,Maruti New Wagon-R,Maruti,2021,"1,43,837 km",CNG,Manual,"EMI ₹8,337/m*",₹3.75 lakh
46,Honda City,Honda,2019,"60,872 km",Petrol,Manual,"EMI ₹11,474/m*",₹6.50 lakh
47,Tata Tiago,Tata,2019,"68,403 km",Petrol,Manual,"EMI ₹6,012/m*",₹3.41 lakh
48,Tata PUNCH,Tata,2024,"92,619 km",CNG,Manual,"EMI ₹11,033/m*",₹6.25 lakh
49,Hyundai Elite i20,Hyundai,2016,"57,753 km",Petrol,Manual,"EMI ₹9,329/m*",₹4.19 lakh
50,Mahindra BOLERO NEO,Mahindra,2022,"1,02,930 km",Diesel,Manual,"EMI ₹13,569/m*",₹6.10 lakh
51,Hyundai Xcent,Hyundai,2014,"70,366 km",Petrol,Manual,"EMI ₹8,594/m*",₹2.59 lakh
52,Renault Kwid,Renault,2022,"42,219 km",Petrol,Manual,"EMI ₹5,825/m*",₹3.30 lakh
53,Maruti Swift Dzire,Maruti,2017,"74,804 km",Petrol,Manual,"EMI ₹7,234/m*",₹3.70 lakh
54,Hyundai NEW I20,Hyundai,2023,"43,243 km",Petrol,Manual,"EMI ₹10,839/m*",₹6.14 lakh
55,MG HECTOR PLUS,MG,2021,"30,173 km",Diesel,Manual,"EMI ₹20,376/m*",₹11.90 lakh
56,Maruti New Wagon-R,Maruti,2020,"39,212 km",Petrol,Auto,"EMI ₹7,767/m*",₹4.40 lakh
57,Maruti Dzire,Maruti,2020,"26,604 km",Petrol,Manual,"EMI ₹9,356/m*",₹5.30 lakh
58,Maruti S PRESSO,Maruti,2020,"1,08,430 km",CNG,Manual,"EMI ₹7,229/m*",₹3.25 lakh
59,Maruti IGNIS,Maruti,2019,"1,10,617 km",Petrol,Auto,"EMI ₹7,431/m*",₹3.34 lakh
60,Maruti Baleno,Maruti,2023,"1,06,909 km",CNG,Manual,"EMI ₹16,350/m*",₹7.35 lakh
61,Volkswagen Polo,Volkswagen,2021,"31,674 km",Petrol,Manual,"EMI ₹10,327/m*",₹5.85 lakh
62,Renault Kwid,Renault,2022,"31,728 km",Petrol,Manual,"EMI ₹5,447/m*",₹3.09 lakh
63,Honda Amaze,Honda,2015,"6,293 km",Petrol,Manual,"EMI ₹8,354/m*",₹3.17 lakh
64,Maruti Swift Dzire,Maruti,2015,"1,08,479 km",Diesel,Manual,"EMI ₹11,791/m*",₹3.55 lakh
65,Hyundai Grand i10,Hyundai,2016,"87,439 km",Petrol,Manual,"EMI ₹6,673/m*",₹3.00 lakh
66,Maruti Swift,Maruti,2014,"1,04,665 km",Petrol,Manual,"EMI ₹8,974/m*",₹2.70 lakh
67,Tata NEXON,Tata,2022,"40,351 km",Petrol,Manual,"EMI ₹10,597/m*",₹6.00 lakh
68,Honda City,Honda,2016,"1,01,098 km",Petrol,Manual,"EMI ₹9,788/m*",₹4.40 lakh
69,Mahindra XUV500,Mahindra,2017,"93,450 km",Diesel,Auto,"EMI ₹17,615/m*",₹8.10 lakh
70,Tata NEXON,Tata,2022,"60,123 km",Petrol,Manual,"EMI ₹11,474/m*",₹6.50 lakh
71,Honda Jazz,Honda,2016,"62,614 km",Petrol,Manual,"EMI ₹7,563/m*",₹3.40 lakh
72,Honda Jazz,Honda,2016,"50,423 km",Petrol,Manual,"EMI ₹7,341/m*",₹3.30 lakh
73,Honda WR-V,Honda,2019,"53,525 km",Petrol,Manual,"EMI ₹9,091/m*",₹5.15 lakh
74,Tata ALTROZ,Tata,2020,"68,542 km",Petrol,Manual,"EMI ₹7,767/m*",₹4.40 lakh
75,Ford FREESTYLE,Ford,2018,"90,419 km",Petrol,Manual,"EMI ₹6,443/m*",₹3.65 lakh
76,Maruti New Wagon-R,Maruti,2021,"1,22,230 km",CNG,Manual,"EMI ₹8,787/m*",₹3.95 lakh
77,Maruti Ciaz,Maruti,2017,"89,139 km",Petrol,Manual,"EMI ₹8,430/m*",₹4.31 lakh
