,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
279,Maruti Ciaz,Maruti,2014,"1,42,000 km",Diesel,Manual,"EMI ₹12,663/m*",₹2.69 lakh
280,Maruti Swift,Maruti,2019,"22,876 km",Petrol,Manual,"EMI ₹8,562/m*",₹4.85 lakh
281,Tata ALTROZ,Tata,2022,"52,324 km",Petrol,Manual,"EMI ₹11,757/m*",₹6.66 lakh
282,Ford Ecosport,Ford,2019,"1,28,547 km",Diesel,Manual,"EMI ₹12,034/m*",₹5.41 lakh
283,Honda Jazz,Honda,2017,"63,145 km",Petrol,Manual,"EMI ₹6,843/m*",₹3.50 lakh
284,Mahindra BOLERO NEO,Mahindra,2024,"4,733 km",Diesel,Manual,"EMI ₹18,287/m*",₹10.68 lakh
285,Hyundai Creta,Hyundai,2021,"54,608 km",Petrol,Manual,"EMI ₹19,109/m*",₹11.16 lakh
286,Maruti Baleno,Maruti,2019,"44,624 km",Petrol,Manual,"EMI ₹8,032/m*",₹4.55 lakh
287,KIA CARENS,KIA,2022,"1,04,000 km",Diesel,Manual,"EMI ₹21,090/m*",₹9.70 lakh
288,Maruti Dzire,Maruti,2018,"1,18,492 km",Petrol,Auto,"EMI ₹9,076/m*",₹4.08 lakh
289,Maruti Vitara Brezza,Maruti,2017,"1,15,024 km",Diesel,Manual,"EMI ₹10,677/m*",₹4.80 lakh
290,Honda City,Honda,2016,"41,809 km",Petrol,Manual,"EMI ₹9,142/m*",₹4.11 lakh
291,Toyota Etios Liva,Toyota,2015,"40,553 km",Petrol,Manual,"EMI ₹6,373/m*",₹2.42 lakh
292,Hyundai VENUE,Hyundai,2021,"1,00,421 km",Diesel,Manual,"EMI ₹15,571/m*",₹7.00 lakh
293,Tata Tiago,Tata,2022,"48,682 km",Petrol,Manual,"EMI ₹8,791/m*",₹4.98 lakh
294,Tata Tiago,Tata,2019,"82,198 km",Petrol,Manual,"EMI ₹6,161/m*",₹3.49 lakh
295,Honda WR-V,Honda,2017,"1,12,928 km",Diesel,Manual,"EMI ₹8,609/m*",₹3.87 lakh
296,Maruti Vitara Brezza,Maruti,2017,"87,749 km",Diesel,Manual,"EMI ₹10,789/m*",₹4.85 lakh
297,Toyota Fortuner,Toyota,2013,"10,00,00,000 km",Diesel,Manual,"EMI ₹57,752/m*",₹6.50 lakh
298,Hyundai Verna,Hyundai,2014,"1,56,094 km",Diesel,Auto,"EMI ₹15,723/m*",₹3.34 lakh
299,Maruti Dzire,Maruti,2020,"66,955 km",Petrol,Manual,"EMI ₹9,074/m*",₹5.14 lakh
300,Maruti Vitara Brezza,Maruti,2018,"66,160 km",Diesel,Manual,"EMI ₹9,462/m*",₹4.84 lakh
301,Tata NEXON,Tata,2022,"15,686 km",Petrol,Manual,"EMI ₹14,034/m*",₹7.95 lakh
302,Tata NEXON,Tata,2024,"12,741 km",Diesel,Manual,"EMI ₹16,112/m*",₹9.41 lakh
303,Maruti Vitara Brezza,Maruti,2021,"79,258 km",Petrol,Manual,"EMI ₹9,656/m*",₹5.47 lakh
304,KIA SELTOS,KIA,2023,"25,614 km",Petrol,Manual,"EMI ₹19,708/m*",₹11.51 lakh
305,Maruti Vitara Brezza,Maruti,2019,"95,330 km",Diesel,Auto,"EMI ₹10,415/m*",₹5.90 lakh
306,Hyundai VENUE,Hyundai,2024,"10,237 km",Petrol,Manual,"EMI ₹15,153/m*",₹8.85 lakh
307,Renault Lodgy,Renault,2017,"75,122 km",Diesel,Manual,"EMI ₹7,786/m*",₹3.50 lakh
308,Volkswagen Vento,Volkswagen,2015,"1,24,935 km",Diesel,Auto,"EMI ₹10,130/m*",₹3.05 lakh
309,Hyundai NEW SANTRO,Hyundai,2018,"61,669 km",Petrol,Manual,"EMI ₹5,578/m*",₹3.16 lakh
310,Mahindra XUV700,Mahindra,2022,"42,129 km",Petrol,Auto,"EMI ₹25,752/m*",₹15.04 lakh
311,MG ASTOR,MG,2021,"72,722 km",Petrol,Auto,"EMI ₹13,240/m*",₹7.50 lakh
312,Maruti Alto,Maruti,2022,"45,796 km",Petrol,Manual,"EMI ₹6,178/m*",₹3.50 lakh
313,Hyundai NEW I20,Hyundai,2020,"1,05,612 km",Petrol,Auto,"EMI ₹14,615/m*",₹6.57 lakh
314,Honda City,Honda,2015,"1,54,733 km",Diesel,Manual,"EMI ₹10,263/m*",₹3.09 lakh
315,Tata NEXON,Tata,2018,"1,29,149 km",Diesel,Manual,"EMI ₹10,677/m*",₹4.80 lakh
316,Tata Hexa,Tata,2018,"79,013 km",Diesel,Manual,"EMI ₹11,515/m*",₹5.89 lakh
317,Maruti Grand Vitara,Maruti,2024,"20,807 km",Petrol,Manual,"EMI ₹18,150/m*",₹10.60 lakh
318,Hyundai XCENT PRIME,Hyundai,2021,"60,516 km",Petrol,Manual,"EMI ₹7,944/m*",₹4.50 lakh
319,Honda Amaze,Honda,2022,"13,048 km",Petrol,Manual,"EMI ₹11,232/m*",₹6.36 lakh
320,Honda City,Honda,2015,"19,932 km",Petrol,Manual,"EMI ₹11,192/m*",₹4.25 lakh
321,Ford Figo Aspire,Ford,2018,"78,585 km",Petrol,Manual,"EMI ₹5,649/m*",₹3.20 lakh
322,Toyota Innova Crysta,Toyota,2022,"1,10,742 km",Diesel,Auto,"EMI ₹33,701/m*",₹15.50 lakh
323,Mahindra XUV700,Mahindra,2023,"47,061 km",Diesel,Manual,"EMI ₹29,433/m*",₹17.19 lakh
324,Maruti Dzire,Maruti,2017,"1,03,891 km",Diesel,Manual,"EMI ₹9,498/m*",₹4.27 lakh
325,Hyundai Creta,Hyundai,2018,"89,859 km",Diesel,Manual,"EMI ₹12,805/m*",₹6.55 lakh
326,Tata NEXON,Tata,2021,"61,767 km",Petrol,Manual,"EMI ₹10,256/m*",₹5.81 lakh
327,Maruti Swift,Maruti,2023,"54,210 km",Petrol,Manual,"EMI ₹18,287/m*",₹10.68 lakh
328,Hyundai Grand i10,Hyundai,2016,"53,813 km",Petrol,Manual,"EMI ₹6,940/m*",₹3.12 lakh
329,Hyundai Creta,Hyundai,2017,"80,164 km",Diesel,Manual,"EMI ₹14,348/m*",₹6.45 lakh
330,Ford Ecosport,Ford,2016,"1,64,174 km",Diesel,Manual,"EMI ₹7,979/m*",₹3.03 lakh
331,KIA CARENS,KIA,2022,"1,00,915 km",Diesel,Manual,"EMI ₹22,699/m*",₹10.44 lakh
332,KIA SONET,KIA,2021,"89,392 km",Diesel,Manual,"EMI ₹13,063/m*",₹7.40 lakh
333,MG HECTOR,MG,2021,"59,117 km",Petrol,Auto,"EMI ₹20,547/m*",₹12.00 lakh
334,Maruti IGNIS,Maruti,2019,"42,567 km",Petrol,Manual,"EMI ₹6,479/m*",₹3.67 lakh
