,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
107,Hyundai Verna,Hyundai,2016,"85,345 km",Diesel,Manual,"EMI ₹6,583/m*",₹2.50 lakh
108,Maruti Alto K10,Maruti,2015,"72,959 km",Petrol,Manual,"EMI ₹6,373/m*",₹2.42 lakh
109,Tata PUNCH,Tata,2023,"24,086 km",Petrol,Auto,"EMI ₹11,157/m*",₹6.32 lakh
110,Hyundai Elite i20,Hyundai,2014,"1,09,292 km",Diesel,Manual,"EMI ₹15,158/m*",₹3.22 lakh
111,Mahindra XUV500,Mahindra,2014,"1,48,387 km",Diesel,Manual,"EMI ₹17,323/m*",₹3.68 lakh
112,Honda ELEVATE,Honda,2024,"9,314 km",Petrol,Auto,"EMI ₹18,612/m*",₹10.87 lakh
113,Honda Amaze,Honda,2014,"1,11,029 km",Diesel,Manual,"EMI ₹9,321/m*",₹1.98 lakh
114,Maruti Baleno,Maruti,2021,"49,114 km",Petrol,Manual,"EMI ₹8,950/m*",₹5.07 lakh
115,Tata ALTROZ,Tata,2021,"62,902 km",Petrol,Manual,"EMI ₹8,562/m*",₹4.85 lakh
116,Hyundai Grand i10,Hyundai,2015,"1,33,232 km",Diesel,Manual,"EMI ₹8,038/m*",₹2.42 lakh
117,Mahindra XUV500,Mahindra,2016,"2,30,092 km",Diesel,Auto,"EMI ₹12,351/m*",₹4.69 lakh
118,Tata Tiago,Tata,2019,"84,744 km",Petrol,Manual,"EMI ₹6,902/m*",₹3.91 lakh
119,Honda City,Honda,2015,"79,379 km",Petrol,Manual,"EMI ₹11,060/m*",₹4.20 lakh
120,Ford Figo,Ford,2012,"1,82,741 km",Diesel,Manual,"EMI ₹11,060/m*",₹0.82 lakh
121,Hyundai Elite i20,Hyundai,2016,"62,790 km",Petrol,Manual,"EMI ₹9,432/m*",₹4.24 lakh
122,Ford Ecosport,Ford,2018,"1,67,970 km",Diesel,Manual,"EMI ₹10,900/m*",₹4.90 lakh
123,Maruti Swift Dzire,Maruti,2015,"99,593 km",Petrol,Manual,"EMI ₹6,794/m*",₹2.58 lakh
124,Hyundai Creta,Hyundai,2021,"35,088 km",Petrol,Manual,"EMI ₹19,674/m*",₹11.49 lakh
125,Nissan Micra,Nissan,2011,"1,46,458 km",Diesel,Manual,"EMI ₹19,674/m*",₹0.74 lakh
126,Hyundai i10,Hyundai,2011,"1,31,197 km",Petrol,Manual,"EMI ₹19,674/m*",₹0.65 lakh
127,Hyundai Creta,Hyundai,2020,"82,178 km",Petrol,Manual,"EMI ₹13,240/m*",₹7.50 lakh
128,Hyundai AURA,Hyundai,2020,"56,486 km",Petrol,Manual,"EMI ₹7,732/m*",₹4.38 lakh
129,Mahindra XUV500,Mahindra,2014,"86,813 km",Diesel,Manual,"EMI ₹14,452/m*",₹3.07 lakh
130,Mahindra TUV300,Mahindra,2019,"55,040 km",Diesel,Manual,"EMI ₹8,526/m*",₹4.83 lakh
131,Renault Kwid,Renault,2016,"87,245 km",Petrol,Manual,"EMI ₹2,767/m*",₹1.24 lakh
132,Hyundai Verna,Hyundai,2014,"1,01,389 km",Diesel,Manual,"EMI ₹10,921/m*",₹2.32 lakh
133,Mahindra XUV300,Mahindra,2020,"1,13,580 km",Diesel,Manual,"EMI ₹17,017/m*",₹7.65 lakh
134,Maruti Swift,Maruti,2020,"84,246 km",Petrol,Manual,"EMI ₹7,573/m*",₹4.29 lakh
135,Maruti Dzire,Maruti,2017,"1,57,688 km",Diesel,Manual,"EMI ₹8,942/m*",₹4.02 lakh
136,Mahindra XUV300,Mahindra,2022,"23,928 km",Petrol,Manual,"EMI ₹15,205/m*",₹8.88 lakh
137,Hyundai Verna,Hyundai,2020,"74,644 km",Petrol,Manual,"EMI ₹10,486/m*",₹5.94 lakh
