,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
51,Tata Zest,Tata,2017,"1,31,029 km",Diesel,Manual,"EMI ₹5,583/m*",₹2.51 lakh
52,Maruti Swift,Maruti,2013,"1,25,431 km",Diesel,Manual,"EMI ₹25,855/m*",₹2.91 lakh
53,Hyundai Eon,Hyundai,2013,"1,10,680 km",Petrol,Manual,"EMI ₹4,630/m*",₹0.98 lakh
54,Maruti Eeco,Maruti,2018,"1,22,235 km",Petrol,Manual,"EMI ₹6,384/m*",₹2.87 lakh
55,Maruti Wagon R 1.0,Maruti,2013,"63,386 km",Petrol,Manual,"EMI ₹10,827/m*",₹2.30 lakh
56,Mahindra XUV500,Mahindra,2012,"2,46,518 km",Diesel,Manual,"EMI ₹10,827/m*",₹2.34 lakh
57,Hyundai i10,Hyundai,2012,"1,22,679 km",Petrol,Manual,"EMI ₹12,528/m*",₹1.41 lakh
58,Hyundai Xcent,Hyundai,2014,"82,764 km",Diesel,Manual,"EMI ₹7,955/m*",₹1.69 lakh
59,Hyundai Verna,Hyundai,2013,"1,26,433 km",Diesel,Auto,"EMI ₹21,324/m*",₹2.40 lakh
60,Honda Amaze,Honda,2014,"1,26,000 km",Diesel,Manual,"EMI ₹9,132/m*",₹1.94 lakh
61,Maruti Wagon R 1.0,Maruti,2015,"1,04,222 km",Petrol,Manual,"EMI ₹6,267/m*",₹2.38 lakh
62,Hyundai i10,Hyundai,2013,"75,758 km",Petrol,Auto,"EMI ₹6,732/m*",₹1.43 lakh
63,Tata Indica Vista,Tata,2012,"73,872 km",Diesel,Manual,"EMI ₹6,732/m*",₹0.55 lakh
64,Maruti Ritz,Maruti,2015,"80,186 km",Petrol,Manual,"EMI ₹3,818/m*",₹1.45 lakh
65,Maruti Wagon R 1.0,Maruti,2014,"2,02,512 km",Petrol,Manual,"EMI ₹5,447/m*",₹1.64 lakh
66,Maruti Alto 800,Maruti,2017,"77,689 km",Petrol,Manual,"EMI ₹3,670/m*",₹1.65 lakh
67,Hyundai Elite i20,Hyundai,2016,"1,01,641 km",Diesel,Manual,"EMI ₹9,575/m*",₹3.64 lakh
68,Datsun Go,Datsun,2017,"62,517 km",Petrol,Manual,"EMI ₹2,678/m*",₹1.37 lakh
69,Renault Kiger,Renault,2022,"66,134 km",Petrol,Manual,"EMI ₹6,708/m*",₹3.80 lakh
70,Honda Amaze,Honda,2017,"1,66,723 km",Petrol,Manual,"EMI ₹6,673/m*",₹3.00 lakh
71,Maruti Celerio,Maruti,2014,"92,023 km",Petrol,Auto,"EMI ₹6,444/m*",₹1.94 lakh
72,Ford Figo,Ford,2011,"99,257 km",Diesel,Manual,"EMI ₹6,444/m*",₹0.76 lakh
73,Maruti New Wagon-R,Maruti,2019,"82,950 km",Petrol,Manual,"EMI ₹6,073/m*",₹3.44 lakh
74,Maruti Ertiga,Maruti,2014,"1,20,280 km",Diesel,Manual,"EMI ₹14,781/m*",₹3.14 lakh
75,Honda Jazz,Honda,2017,"67,817 km",Petrol,Auto,"EMI ₹7,273/m*",₹3.72 lakh
76,Hyundai i10,Hyundai,2013,"1,28,890 km",Petrol,Manual,"EMI ₹8,756/m*",₹1.86 lakh
77,Hyundai Verna,Hyundai,2012,"1,47,238 km",Diesel,Manual,"EMI ₹8,756/m*",₹1.78 lakh
78,Honda City,Honda,2010,"1,48,312 km",Petrol,Auto,"EMI ₹8,756/m*",₹1.50 lakh
79,Hyundai i20,Hyundai,2011,"47,745 km",Petrol,Manual,"EMI ₹8,756/m*",₹1.32 lakh
80,Maruti Alto K10,Maruti,2017,"1,54,282 km",Petrol,Manual,"EMI ₹4,938/m*",₹2.22 lakh
81,Maruti Zen Estilo,Maruti,2012,"1,78,484 km",Petrol,Manual,"EMI ₹4,190/m*",₹0.47 lakh
82,Chevrolet Spark,Chevrolet,2012,"73,832 km",Petrol,Manual,"EMI ₹4,620/m*",₹0.52 lakh
83,Hyundai Creta,Hyundai,2018,"1,50,538 km",Diesel,Manual,"EMI ₹11,500/m*",₹5.17 lakh
84,Honda Amaze,Honda,2013,"1,17,946 km",Petrol,Manual,"EMI ₹11,203/m*",₹2.38 lakh
85,Nissan Micra,Nissan,2011,"89,828 km",Petrol,Manual,"EMI ₹11,203/m*",₹1.05 lakh
86,Tata NEXON,Tata,2020,"85,516 km",Diesel,Manual,"EMI ₹8,826/m*",₹5.00 lakh
87,Honda Jazz,Honda,2016,"1,17,697 km",Diesel,Manual,"EMI ₹6,162/m*",₹2.34 lakh
88,Maruti Wagon R 1.0,Maruti,2017,"1,47,560 km",Petrol,Manual,"EMI ₹5,450/m*",₹2.45 lakh
89,Tata Hexa,Tata,2018,"96,181 km",Diesel,Manual,"EMI ₹10,831/m*",₹5.54 lakh
90,Maruti Swift Dzire,Maruti,2012,"1,70,148 km",Diesel,Manual,"EMI ₹10,831/m*",₹1.31 lakh
91,Maruti S PRESSO,Maruti,2020,"64,856 km",Petrol,Manual,"EMI ₹5,119/m*",₹2.90 lakh
92,Maruti Swift,Maruti,2012,"92,772 km",Diesel,Manual,"EMI ₹5,119/m*",₹2.91 lakh
93,Honda City,Honda,2019,"1,17,233 km",Petrol,Manual,"EMI ₹11,678/m*",₹5.25 lakh
94,Hyundai Xcent,Hyundai,2015,"1,15,423 km",Diesel,Manual,"EMI ₹7,673/m*",₹2.31 lakh
95,Tata ALTROZ,Tata,2020,"52,169 km",Petrol,Manual,"EMI ₹7,591/m*",₹4.30 lakh
96,Hyundai Verna,Hyundai,2011,"84,839 km",Petrol,Manual,"EMI ₹7,591/m*",₹1.52 lakh
97,Volkswagen Vento,Volkswagen,2013,"1,30,546 km",Petrol,Auto,"EMI ₹8,662/m*",₹1.84 lakh
98,Volkswagen Polo,Volkswagen,2017,"43,070 km",Petrol,Manual,"EMI ₹5,630/m*",₹2.88 lakh
99,Hyundai i10,Hyundai,2015,"68,330 km",Petrol,Manual,"EMI ₹6,899/m*",₹2.62 lakh
100,Hyundai Eon,Hyundai,2016,"56,329 km",Petrol,Manual,"EMI ₹3,670/m*",₹1.65 lakh
