,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
68,Hyundai NEW SANTRO,Hyundai,2020,"13,277 km",Petrol,Manual,"EMI ₹5,288/m*",₹3.00 lakh
69,Hyundai Eon,Hyundai,2016,"28,280 km",Petrol,Manual,"EMI ₹3,868/m*",₹1.74 lakh
70,Maruti Alto,Maruti,2021,"52,097 km",Petrol,Manual,"EMI ₹4,325/m*",₹2.45 lakh
71,Renault TRIBER,Renault,2021,"10,808 km",Petrol,Manual,"EMI ₹6,885/m*",₹3.90 lakh
72,Honda City,Honda,2018,"51,392 km",Petrol,Manual,"EMI ₹8,562/m*",₹4.85 lakh
73,Toyota Glanza,Toyota,2019,"45,930 km",Petrol,Manual,"EMI ₹7,502/m*",₹4.25 lakh
74,Maruti Alto 800,Maruti,2018,"24,767 km",Petrol,Manual,"EMI ₹3,531/m*",₹2.00 lakh
75,Skoda Superb,Skoda,2016,"28,278 km",Petrol,Auto,"EMI ₹16,238/m*",₹7.30 lakh
76,Hyundai Elite i20,Hyundai,2018,"39,913 km",Petrol,Manual,"EMI ₹6,355/m*",₹3.60 lakh
77,Tata NEXON,Tata,2022,"60,326 km",Petrol,Manual,"EMI ₹9,179/m*",₹5.20 lakh
78,Mahindra XUV500,Mahindra,2020,"43,592 km",Diesel,Manual,"EMI ₹13,769/m*",₹7.80 lakh
79,Toyota Glanza,Toyota,2023,"4,041 km",Petrol,Manual,"EMI ₹9,356/m*",₹5.30 lakh
80,Tata TIGOR,Tata,2022,"33,245 km",CNG,Manual,"EMI ₹8,915/m*",₹5.05 lakh
81,Tata NEXON,Tata,2022,"87,846 km",Petrol,Manual,"EMI ₹10,592/m*",₹6.00 lakh
82,Mahindra Thar,Mahindra,2021,"51,580 km",Petrol,Auto,"EMI ₹14,440/m*",₹8.43 lakh
83,Maruti Celerio,Maruti,2025,197 km,Petrol,Manual,"EMI ₹7,948/m*",₹4.50 lakh
84,Hyundai New Elantra,Hyundai,2019,"54,199 km",Petrol,Auto,"EMI ₹12,533/m*",₹7.10 lakh
85,Hyundai NEW SANTRO,Hyundai,2020,"1,20,427 km",Petrol,Manual,"EMI ₹6,224/m*",₹2.80 lakh
86,Skoda Octavia,Skoda,2019,"41,724 km",Petrol,Auto,"EMI ₹20,625/m*",₹12.05 lakh
87,Maruti Wagon R 1.0,Maruti,2014,"45,506 km",Petrol,Manual,"EMI ₹7,141/m*",₹2.15 lakh
88,Hyundai Grand i10,Hyundai,2014,"1,00,120 km",Petrol,Manual,"EMI ₹5,813/m*",₹1.75 lakh
89,Hyundai Grand i10,Hyundai,2014,"1,05,349 km",Petrol,Manual,"EMI ₹7,115/m*",₹2.14 lakh
90,Maruti Ritz,Maruti,2012,"53,465 km",Petrol,Manual,"EMI ₹12,462/m*",₹1.40 lakh
91,Maruti Baleno,Maruti,2023,"19,866 km",Petrol,Manual,"EMI ₹11,739/m*",₹6.65 lakh
92,Maruti Swift,Maruti,2016,"95,146 km",Petrol,Manual,"EMI ₹5,123/m*",₹2.30 lakh
93,Ford FREESTYLE,Ford,2021,"1,13,880 km",Petrol,Manual,"EMI ₹9,788/m*",₹4.40 lakh
94,Honda City,Honda,2016,"1,11,496 km",Petrol,Manual,"EMI ₹7,674/m*",₹3.45 lakh
95,Maruti Swift Dzire,Maruti,2016,"88,858 km",Petrol,Auto,"EMI ₹6,340/m*",₹2.85 lakh
96,Tata PUNCH,Tata,2022,"55,147 km",Petrol,Auto,"EMI ₹10,772/m*",₹6.10 lakh
97,Maruti Wagon R 1.0,Maruti,2017,"58,924 km",Petrol,Manual,"EMI ₹5,114/m*",₹2.62 lakh
98,Maruti Ertiga,Maruti,2020,"74,793 km",Petrol,Manual,"EMI ₹12,004/m*",₹6.80 lakh
99,Maruti New Wagon-R,Maruti,2021,"11,098 km",Petrol,Auto,"EMI ₹7,238/m*",₹4.10 lakh
100,Maruti Eeco,Maruti,2023,"1,621 km",Petrol,Manual,"EMI ₹7,944/m*",₹4.50 lakh
101,Maruti Swift,Maruti,2016,"67,639 km",Petrol,Manual,"EMI ₹5,784/m*",₹2.60 lakh
102,Datsun Redi Go,Datsun,2021,"10,455 km",Petrol,Manual,"EMI ₹4,325/m*",₹2.45 lakh
103,Tata TIAGO NRG,Tata,2019,"54,032 km",Petrol,Manual,"EMI ₹5,031/m*",₹2.85 lakh
104,Hyundai Grand i10,Hyundai,2014,"87,701 km",Petrol,Manual,"EMI ₹7,109/m*",₹2.14 lakh
105,Maruti New Wagon-R,Maruti,2021,"18,008 km",Petrol,Manual,"EMI ₹6,708/m*",₹3.80 lakh
106,Tata ALTROZ,Tata,2024,"9,185 km",Petrol,Manual,"EMI ₹10,416/m*",₹5.90 lakh
107,Maruti Swift,Maruti,2014,"19,872 km",Petrol,Manual,"EMI ₹7,141/m*",₹2.15 lakh
108,Tata ALTROZ,Tata,2023,"21,889 km",Petrol,Manual,"EMI ₹8,826/m*",₹5.00 lakh
109,Maruti Swift,Maruti,2023,"24,785 km",Petrol,Manual,"EMI ₹8,385/m*",₹4.75 lakh
