,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
747,Maruti Alto 800,Maruti,2013,"88,335 km",Petrol,Manual,"EMI ₹10,968/m*",₹2.33 lakh
748,Renault Duster,Renault,2015,"90,551 km",Diesel,Manual,"EMI ₹7,008/m*",₹2.11 lakh
749,Honda Jazz,Honda,2015,"93,691 km",Petrol,Manual,"EMI ₹8,901/m*",₹3.38 lakh
750,Hyundai Elite i20,Hyundai,2017,"13,517 km",Petrol,Manual,"EMI ₹7,253/m*",₹3.71 lakh
751,Hyundai NEW I20,Hyundai,2021,"83,623 km",Diesel,Manual,"EMI ₹12,092/m*",₹6.85 lakh
752,Datsun Go Plus,Datsun,2015,"49,434 km",Petrol,Manual,"EMI ₹6,346/m*",₹2.41 lakh
753,Maruti Baleno,Maruti,2016,"78,904 km",Petrol,Manual,"EMI ₹6,896/m*",₹3.10 lakh
754,Maruti JIMNY,Maruti,2023,"30,207 km",Petrol,Auto,"EMI ₹18,749/m*",₹10.95 lakh
755,Maruti Ertiga,Maruti,2013,"59,591 km",Petrol,Manual,"EMI ₹29,044/m*",₹6.17 lakh
756,Volkswagen Polo,Volkswagen,2012,"86,991 km",Diesel,Manual,"EMI ₹29,044/m*",₹2.15 lakh
757,Nissan Terrano,Nissan,2015,"62,553 km",Diesel,Manual,"EMI ₹14,946/m*",₹4.50 lakh
758,Tata ALTROZ,Tata,2020,"27,506 km",Petrol,Manual,"EMI ₹9,780/m*",₹5.54 lakh
759,Maruti Alto K10,Maruti,2013,"55,626 km",Petrol,Manual,"EMI ₹12,286/m*",₹2.61 lakh
760,Maruti Grand Vitara,Maruti,2023,"28,233 km",Petrol,Manual,"EMI ₹16,866/m*",₹9.85 lakh
761,Tata NEXON,Tata,2024,"8,998 km",Petrol,Auto,"EMI ₹18,167/m*",₹10.61 lakh
762,Hyundai Verna,Hyundai,2018,"36,270 km",Diesel,Manual,"EMI ₹16,046/m*",₹8.43 lakh
763,Renault Kwid,Renault,2016,"95,338 km",Petrol,Auto,"EMI ₹6,073/m*",₹2.73 lakh
