,Car Name,Brand,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
52,Ford Ecosport,Ford,2014,"1,10,899 km",Diesel,Manual,"EMI ₹10,592/m*",₹2.25 lakh
53,Renault Kwid,Renault,2020,"22,100 km",Petrol,Auto,"EMI ₹5,119/m*",₹2.90 lakh
54,Renault Kwid,Renault,2018,"61,881 km",Petrol,Manual,"EMI ₹3,389/m*",₹1.92 lakh
55,Hyundai Verna,Hyundai,2021,"1,28,154 km",Diesel,Manual,"EMI ₹18,546/m*",₹8.53 lakh
56,Hyundai Verna,Hyundai,2013,"1,28,893 km",Diesel,Manual,"EMI ₹26,122/m*",₹2.94 lakh
57,Tata Harrier,Tata,2022,"1,84,720 km",Diesel,Auto,"EMI ₹31,244/m*",₹14.37 lakh
58,Maruti Swift Dzire,Maruti,2014,"1,88,178 km",Diesel,Manual,"EMI ₹13,416/m*",₹2.85 lakh
59,Maruti Baleno,Maruti,2019,"42,922 km",Petrol,Manual,"EMI ₹8,544/m*",₹4.84 lakh
60,Hyundai i20,Hyundai,2012,"1,09,007 km",Diesel,Manual,"EMI ₹8,544/m*",₹2.16 lakh
61,Maruti Ciaz,Maruti,2016,"98,134 km",Petrol,Manual,"EMI ₹7,697/m*",₹3.46 lakh
62,Maruti IGNIS,Maruti,2017,"85,005 km",Petrol,Manual,"EMI ₹5,865/m*",₹3.00 lakh
63,Hyundai Grand i10,Hyundai,2016,"63,868 km",Petrol,Manual,"EMI ₹5,739/m*",₹2.58 lakh
64,Maruti Ritz,Maruti,2012,"1,43,855 km",Diesel,Manual,"EMI ₹5,739/m*",₹1.43 lakh
65,Tata Harrier,Tata,2022,"64,951 km",Diesel,Manual,"EMI ₹24,759/m*",₹14.46 lakh
66,Tata NEXON,Tata,2019,"54,775 km",Petrol,Manual,"EMI ₹8,279/m*",₹4.69 lakh
67,Hyundai Elite i20,Hyundai,2016,"1,46,639 km",Diesel,Manual,"EMI ₹9,270/m*",₹3.52 lakh
68,Maruti Swift,Maruti,2011,"1,58,918 km",Diesel,Manual,"EMI ₹9,270/m*",₹1.20 lakh
69,Ford New Figo,Ford,2015,"1,53,934 km",Diesel,Manual,"EMI ₹5,779/m*",₹1.74 lakh
70,Hyundai Xcent,Hyundai,2015,"1,30,050 km",Diesel,Manual,"EMI ₹6,444/m*",₹1.94 lakh
71,Maruti Baleno,Maruti,2017,"1,22,162 km",Petrol,Manual,"EMI ₹8,564/m*",₹3.85 lakh
72,Maruti Swift,Maruti,2021,"38,773 km",Petrol,Manual,"EMI ₹11,245/m*",₹6.37 lakh
73,Maruti Ciaz,Maruti,2018,"1,37,820 km",Petrol,Auto,"EMI ₹10,878/m*",₹4.89 lakh
74,Toyota Etios,Toyota,2015,"99,622 km",Diesel,Manual,"EMI ₹9,831/m*",₹2.96 lakh
75,Honda City,Honda,2018,"65,759 km",Petrol,Manual,"EMI ₹9,321/m*",₹5.28 lakh
76,Ford Figo Aspire,Ford,2019,"58,133 km",Petrol,Manual,"EMI ₹6,249/m*",₹3.54 lakh
77,Jaguar XF,Jaguar,2014,"96,822 km",Diesel,Auto,"EMI ₹35,540/m*",₹7.55 lakh
78,Ford Ecosport,Ford,2020,"69,330 km",Diesel,Manual,"EMI ₹11,174/m*",₹6.33 lakh
79,Maruti Ciaz,Maruti,2016,"1,21,095 km",Petrol,Manual,"EMI ₹7,674/m*",₹3.45 lakh
80,Volkswagen Polo,Volkswagen,2019,"70,545 km",Petrol,Manual,"EMI ₹7,096/m*",₹4.02 lakh
81,Tata Zest,Tata,2017,"1,52,515 km",Diesel,Manual,"EMI ₹5,494/m*",₹2.47 lakh
82,Jeep Compass,Jeep,2018,"1,20,116 km",Diesel,Manual,"EMI ₹15,571/m*",₹7.00 lakh
83,Maruti IGNIS,Maruti,2019,"44,861 km",Petrol,Manual,"EMI ₹6,249/m*",₹3.54 lakh
84,Tata TIGOR,Tata,2018,"1,27,908 km",Diesel,Manual,"EMI ₹7,430/m*",₹3.34 lakh
85,Renault Kiger,Renault,2022,"24,766 km",Petrol,Manual,"EMI ₹10,592/m*",₹6.00 lakh
86,Maruti Baleno,Maruti,2016,"96,682 km",Petrol,Manual,"EMI ₹7,274/m*",₹3.27 lakh
87,KIA SONET,KIA,2022,"1,00,383 km",Diesel,Manual,"EMI ₹16,683/m*",₹7.50 lakh
88,Maruti S PRESSO,Maruti,2022,"10,555 km",Petrol,Manual,"EMI ₹5,843/m*",₹3.31 lakh
89,Honda WR-V,Honda,2017,"71,364 km",Petrol,Manual,"EMI ₹8,798/m*",₹4.50 lakh
90,Tata Harrier,Tata,2022,"38,400 km",Diesel,Auto,"EMI ₹26,095/m*",₹15.24 lakh
91,Maruti Vitara Brezza,Maruti,2018,"1,36,142 km",Diesel,Manual,"EMI ₹11,567/m*",₹5.20 lakh
92,Hyundai Elite i20,Hyundai,2020,"27,327 km",Petrol,Manual,"EMI ₹9,409/m*",₹5.33 lakh
93,Maruti Swift,Maruti,2016,"61,286 km",Petrol,Manual,"EMI ₹7,786/m*",₹3.50 lakh
94,Volkswagen Jetta,Volkswagen,2012,"95,899 km",Diesel,Manual,"EMI ₹7,786/m*",₹3.83 lakh
95,Mahindra TUV300,Mahindra,2016,"1,38,000 km",Diesel,Manual,"EMI ₹11,850/m*",₹4.50 lakh
96,MG HECTOR,MG,2021,"1,99,323 km",Diesel,Manual,"EMI ₹16,127/m*",₹7.25 lakh
97,Hyundai Grand i10,Hyundai,2017,"95,802 km",Petrol,Manual,"EMI ₹5,885/m*",₹3.01 lakh
98,Maruti Ciaz,Maruti,2016,"1,33,248 km",Diesel,Manual,"EMI ₹10,850/m*",₹4.12 lakh
99,Maruti S Cross,Maruti,2018,"2,73,601 km",Diesel,Manual,"EMI ₹7,786/m*",₹3.50 lakh
100,Toyota Innova Crysta,Toyota,2017,"97,580 km",Diesel,Auto,"EMI ₹28,765/m*",₹13.23 lakh
101,Mahindra Thar,Mahindra,2022,"41,561 km",Diesel,Auto,"EMI ₹20,855/m*",₹12.18 lakh
102,Maruti Swift Dzire,Maruti,2019,"1,31,044 km",Petrol,Manual,"EMI ₹7,341/m*",₹3.30 lakh
103,Hyundai Creta,Hyundai,2018,"72,000 km",Petrol,Auto,"EMI ₹13,663/m*",₹7.74 lakh
104,Skoda SLAVIA,Skoda,2022,"27,500 km",Petrol,Auto,"EMI ₹21,403/m*",₹12.50 lakh
105,Mahindra XUV500,Mahindra,2018,"1,38,547 km",Diesel,Manual,"EMI ₹18,133/m*",₹8.34 lakh
106,Mahindra XUV500,Mahindra,2015,"1,04,973 km",Diesel,Manual,"EMI ₹13,518/m*",₹4.07 lakh
107,Maruti S PRESSO,Maruti,2021,"75,000 km",Petrol,Manual,"EMI ₹6,178/m*",₹3.50 lakh
108,Maruti S Cross,Maruti,2016,"1,43,470 km",Diesel,Manual,"EMI ₹10,086/m*",₹3.83 lakh
109,Maruti Ertiga,Maruti,2012,"1,88,061 km",Diesel,Manual,"EMI ₹10,086/m*",₹2.98 lakh
110,Maruti S Cross,Maruti,2017,"89,593 km",Diesel,Manual,"EMI ₹9,788/m*",₹4.40 lakh
111,Mahindra XUV500,Mahindra,2017,"1,66,578 km",Diesel,Manual,"EMI ₹15,571/m*",₹7.00 lakh
112,Honda City,Honda,2017,"90,043 km",Petrol,Manual,"EMI ₹8,798/m*",₹4.50 lakh
113,Maruti Alto,Maruti,2020,"67,071 km",Petrol,Manual,"EMI ₹4,819/m*",₹2.73 lakh
114,Mahindra XUV500,Mahindra,2015,"82,128 km",Diesel,Manual,"EMI ₹13,319/m*",₹4.01 lakh
