car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Ford Figo,Ford,2011,99257,Diesel,Manual,6444,76000.0
Maruti New Wagon-R,Maruti,2019,82950,Petrol,Manual,6073,344000.0
Maruti Ertiga,Maruti,2014,120280,Diesel,Manual,14781,314000.0
Honda Jazz,Honda,2017,67817,Petrol,Auto,7273,372000.0
Hyundai i10,Hyundai,2013,128890,Petrol,Manual,8756,186000.0
Hyundai Verna,Hyundai,2012,147238,Diesel,Manual,8756,178000.0
Honda City,Honda,2010,148312,Petrol,Auto,8756,150000.0
Hyundai i20,Hyundai,2011,47745,Petrol,Manual,8756,132000.0
Maruti Alto K10,Maruti,2017,154282,Petrol,Manual,4938,222000.00000000003
Chevrolet Spark,Chevrolet,2012,73832,Petrol,Manual,4620,52000.0
Hyundai Creta,Hyundai,2018,150538,Diesel,Manual,11500,517000.0
Honda Amaze,Honda,2013,117946,Petrol,Manual,11203,238000.0
Nissan Micra,Nissan,2011,89828,Petrol,Manual,11203,105000.0
Tata NEXON,Tata,2020,85516,Diesel,Manual,8826,500000.0
Honda Jazz,Honda,2016,117697,Diesel,Manual,6162,234000.0
Maruti Wagon R 1.0,Maruti,2017,147560,Petrol,Manual,5450,245000.00000000003
Tata Hexa,Tata,2018,96181,Diesel,Manual,10831,554000.0
Maruti Swift Dzire,Maruti,2012,170148,Diesel,Manual,10831,131000.0
Maruti S PRESSO,Maruti,2020,64856,Petrol,Manual,5119,290000.0
Maruti Swift,Maruti,2012,92772,Diesel,Manual,5119,291000.0
Honda City,Honda,2019,117233,Petrol,Manual,11678,525000.0
Hyundai Xcent,Hyundai,2015,115423,Diesel,Manual,7673,231000.0
Tata ALTROZ,Tata,2020,52169,Petrol,Manual,7591,430000.0
Hyundai Verna,Hyundai,2011,84839,Petrol,Manual,7591,152000.0
Volkswagen Vento,Volkswagen,2013,130546,Petrol,Auto,8662,184000.0
Volkswagen Polo,Volkswagen,2017,43070,Petrol,Manual,5630,288000.0
Hyundai i10,Hyundai,2015,68330,Petrol,Manual,6899,262000.0
Hyundai Eon,Hyundai,2016,56329,Petrol,Manual,3670,165000.0
Renault Duster,Renault,2013,229337,Diesel,Manual,15460,174000.0
Hyundai i20,Hyundai,2012,105427,Diesel,Manual,15460,153000.0
Tata Harrier,Tata,2022,129013,Diesel,Manual,27178,1250000.0
Maruti Alto 800,Maruti,2018,85381,Petrol,Manual,3831,217000.0
Hyundai i10,Hyundai,2015,107517,Petrol,Manual,5820,221000.0
Hyundai i20,Hyundai,2013,110383,Diesel,Manual,16704,188000.0
Tata ALTROZ,Tata,2025,20015,Petrol,Manual,12445,705000.0
Hyundai Eon,Hyundai,2017,120418,Petrol,Manual,3871,174000.0
Nissan Sunny,Nissan,2013,154820,Diesel,Manual,12261,138000.0
Maruti Swift Dzire,Maruti,2011,164185,Diesel,Manual,12261,183000.0
Maruti Wagon R 1.0,Maruti,2011,90866,Petrol,Manual,12261,131000.0
