car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Hyundai Eon,Hyundai,2014,69866,Petrol,Manual,5294,159000.0
Datsun Redi Go,Datsun,2020,41254,Petrol,Manual,4943,280000.0
Maruti Celerio,Maruti,2019,10304,Petrol,Manual,6030,342000.0
Mahindra Thar,Mahindra,2021,85850,Diesel,Auto,16266,950000.0
Maruti Ertiga,Maruti,2019,92458,Petrol,Manual,12354,700000.0
Hyundai Elite i20,Hyundai,2019,35356,Petrol,Manual,6992,396000.0
Maruti Dzire,Maruti,2019,30100,Petrol,Manual,8059,457000.0
Mahindra Scorpio,Mahindra,2021,59447,Diesel,Manual,18820,1099000.0
Ford FREESTYLE,Ford,2019,27488,Petrol,Manual,6626,375000.0
Maruti Alto 800,Maruti,2018,80610,Petrol,Manual,2698,153000.0
Maruti S Cross,Maruti,2021,28379,Petrol,Manual,11076,627000.0
Ford Ecosport,Ford,2019,61635,Petrol,Manual,7594,430000.0
Skoda KUSHAQ,Skoda,2023,66576,Petrol,Manual,16092,940000.0
Hyundai AURA,Hyundai,2021,95560,CNG,Manual,8297,470000.0
Maruti Alto K10,Maruti,2018,87853,Petrol,Manual,4065,229999.99999999997
Skoda KUSHAQ,Skoda,2022,71865,Petrol,Manual,14443,844000.0
Maruti Celerio,Maruti,2021,72775,Petrol,Manual,5649,320000.0
Hyundai VENUE,Hyundai,2020,32411,Petrol,Manual,10503,595000.0
Maruti Swift,Maruti,2018,33345,Petrol,Manual,8385,475000.0
Tata NEXON,Tata,2020,46430,Petrol,Manual,10415,590000.0
Honda Amaze,Honda,2024,19948,Petrol,Manual,11774,667000.0
Maruti Alto K10,Maruti,2019,35115,Petrol,Manual,4264,242000.0
Hyundai NEW I20,Hyundai,2023,54110,Petrol,Manual,9974,565000.0
Hyundai EXTER,Hyundai,2023,36600,Petrol,Manual,10415,590000.0
Maruti Celerio,Maruti,2016,52386,Petrol,Auto,5697,256000.0
Datsun Redi Go,Datsun,2020,24295,Petrol,Manual,3742,212000.0
Hyundai Eon,Hyundai,2013,40001,Petrol,Manual,6967,148000.0
Tata Tiago,Tata,2023,45481,Petrol,Manual,7149,405000.0
Toyota Etios,Toyota,2020,65593,CNG,Manual,6411,363000.0
Tata Tiago,Tata,2023,14332,Petrol,Auto,8209,465000.00000000006
KIA SONET,KIA,2020,38690,Petrol,Manual,10809,612000.0
Hyundai NEW I20,Hyundai,2023,39296,Petrol,Manual,9356,530000.0
Datsun Go Plus,Datsun,2021,31233,Petrol,Manual,6451,365000.0
Renault TRIBER,Renault,2019,62100,Petrol,Manual,7861,445000.0
Maruti FRONX,Maruti,2024,7554,Petrol,Auto,12798,725000.0
Honda Jazz,Honda,2017,28120,Petrol,Auto,6629,339000.0
Maruti New Wagon-R,Maruti,2022,27107,Petrol,Manual,8294,470000.0
Hyundai VENUE,Hyundai,2021,65283,Petrol,Manual,11828,670000.0
Hyundai New Elantra,Hyundai,2018,54355,Diesel,Auto,15178,776000.0
Maruti BREZZA,Maruti,2022,28115,Petrol,Manual,14959,874000.0
Hyundai GRAND I10 NIOS,Hyundai,2022,19850,Petrol,Manual,7614,430999.99999999994
Hyundai i10,Hyundai,2016,36455,Petrol,Manual,4664,210000.0
Maruti S PRESSO,Maruti,2021,64045,Petrol,Manual,5561,315000.0
Hyundai EXTER,Hyundai,2023,21275,Petrol,Auto,11400,646000.0
Maruti Alto K10,Maruti,2013,107475,Petrol,Manual,5649,120000.0
Tata NEXON,Tata,2019,21376,Petrol,Manual,7843,444000.00000000006
Maruti Swift,Maruti,2016,22772,Petrol,Manual,7432,334000.0
Toyota Innova Crysta,Toyota,2022,86718,Diesel,Auto,28338,1655000.0
Tata TIAGO NRG,Tata,2022,27604,Petrol,Auto,7970,451000.0
Maruti S Cross,Maruti,2022,47877,Petrol,Manual,10768,610000.0
Maruti S PRESSO,Maruti,2019,33802,Petrol,Auto,5472,310000.0
Maruti Baleno,Maruti,2018,49808,Petrol,Manual,7414,420000.0
Honda WR-V,Honda,2020,86665,Diesel,Manual,8964,508000.0
Nissan MAGNITE,Nissan,2022,18531,Petrol,Auto,10833,614000.0
Hyundai Creta,Hyundai,2022,73081,Diesel,Manual,17858,1043000.0
Tata Tiago,Tata,2024,26153,Petrol,Manual,8478,480000.0
Hyundai GRAND I10 NIOS,Hyundai,2023,67739,CNG,Manual,9886,560000.0
Honda WR-V,Honda,2018,34229,Petrol,Manual,7944,450000.0
Tata NEXON,Tata,2021,87615,Petrol,Manual,12004,680000.0
Hyundai GRAND I10 NIOS,Hyundai,2022,6976,Petrol,Auto,9706,550000.0
Tata NEXON,Tata,2023,12845,Diesel,Manual,17465,1019999.9999999999
KIA SELTOS,KIA,2021,70395,Petrol,Manual,17670,1032000.0
Honda WR-V,Honda,2017,73513,Diesel,Manual,11351,509999.99999999994
Tata NEXON,Tata,2023,16636,Petrol,Manual,18939,1106000.0
KIA SONET,KIA,2021,60670,Petrol,Manual,13484,764000.0
KIA SELTOS,KIA,2021,71330,Petrol,Auto,20119,1175000.0
Maruti Baleno,Maruti,2023,17781,Petrol,Manual,12723,721000.0
Maruti Ritz,Maruti,2012,67191,Petrol,Manual,10428,117000.0
Tata Tiago,Tata,2019,47658,Petrol,Manual,6620,375000.0
Volkswagen TAIGUN,Volkswagen,2022,59704,Petrol,Manual,14936,872000.0000000001
Maruti Eeco,Maruti,2022,27733,CNG,Manual,7728,438000.0
Maruti Ciaz,Maruti,2021,46882,Petrol,Manual,11199,634000.0
Maruti Alto 800,Maruti,2012,28705,Petrol,Manual,13772,155000.0
Hyundai Xcent,Hyundai,2014,69262,Petrol,Manual,6942,209000.0
Maruti Wagon R 1.0,Maruti,2013,72548,Petrol,Manual,9697,206000.0
Renault Duster,Renault,2015,73350,Diesel,Manual,9134,275000.0
Hyundai i10,Hyundai,2011,40198,Petrol,Manual,9134,160000.0
Hyundai i10,Hyundai,2011,99580,Petrol,Manual,9134,94000.0
Ford Ecosport,Ford,2020,167209,Diesel,Manual,13680,615000.0
Renault Kwid,Renault,2016,49405,Petrol,Manual,3248,146000.0
Mahindra Scorpio,Mahindra,2014,205700,Diesel,Manual,12239,260000.0
Renault Kwid,Renault,2016,60720,Petrol,Manual,4026,181000.0
Hyundai i20 Active,Hyundai,2018,70581,Diesel,Manual,6647,340000.0
Mahindra Kuv100,Mahindra,2016,17581,Diesel,Manual,6794,258000.0
Maruti Alto K10,Maruti,2017,49511,Petrol,Manual,4497,229999.99999999997
Maruti Alto,Maruti,2011,15342,Petrol,Manual,4497,94000.0
Honda City,Honda,2014,67230,Petrol,Manual,9333,281000.0
Honda City,Honda,2013,75426,Petrol,Manual,10745,227999.99999999997
Maruti Swift Dzire,Maruti,2013,71420,Diesel,Manual,16437,185000.0
Maruti Vitara Brezza,Maruti,2016,85841,Diesel,Manual,16538,628000.0
Datsun Go Plus,Datsun,2015,51775,Petrol,Manual,4503,171000.0
Tata Harrier,Tata,2024,22132,Diesel,Manual,27396,1600000.0
Maruti Alto K10,Maruti,2012,50667,Petrol,Manual,11906,134000.0
Hyundai i10,Hyundai,2012,79571,Petrol,Manual,9063,102000.0
Tata TIGOR,Tata,2019,57732,Petrol,Manual,6708,380000.0
Maruti Dzire,Maruti,2020,26046,Petrol,Manual,9568,542000.0
Maruti FRONX,Maruti,2025,5860,Petrol,Manual,12233,693000.0
Maruti Wagon R 1.0,Maruti,2013,140827,Petrol,Manual,8426,179000.0
Tata NEXON,Tata,2021,66274,Petrol,Auto,13240,750000.0
Hyundai Eon,Hyundai,2015,71319,Petrol,Manual,4424,168000.0
Maruti Wagon R 1.0,Maruti,2018,50840,Petrol,Manual,4749,269000.0
CITROEN C3,CITROEN,2023,24928,Petrol,Manual,11615,658000.0
Maruti New Wagon-R,Maruti,2021,44699,Petrol,Manual,9021,511000.00000000006
Tata NEXON,Tata,2022,35848,Petrol,Manual,16592,969000.0
Maruti IGNIS,Maruti,2018,26896,Petrol,Manual,6090,345000.0
Audi A6,Audi,2015,89219,Diesel,Auto,32739,1000000.0
Ford Figo,Ford,2011,81934,Petrol,Manual,32739,75000.0
Maruti Dzire,Maruti,2018,52088,Petrol,Manual,9215,522000.0
Ford New Figo,Ford,2017,105351,Petrol,Manual,4849,218000.00000000003
Hyundai i10,Hyundai,2012,49073,Petrol,Manual,12883,145000.0
Hyundai i20,Hyundai,2012,17199,Petrol,Manual,17770,200000.0
Maruti Swift,Maruti,2013,65873,Petrol,Manual,11533,245000.00000000003
Maruti Alto 800,Maruti,2013,24413,Petrol,Manual,7908,168000.0
Maruti Dzire,Maruti,2018,52939,Diesel,Manual,11007,563000.0
Hyundai Verna,Hyundai,2018,68217,Petrol,Manual,11704,663000.0
Maruti Swift Dzire,Maruti,2016,106925,Petrol,Manual,8008,360000.0
Tata NEXON,Tata,2022,75563,Petrol,Auto,14109,824000.0
Toyota Innova Crysta,Toyota,2021,111502,Diesel,Auto,36962,1700000.0
Maruti Vitara Brezza,Maruti,2016,140000,Diesel,Manual,12245,465000.00000000006
Hyundai i20 Active,Hyundai,2017,52457,Petrol,Manual,9443,483000.0
Maruti Swift,Maruti,2011,60834,Petrol,Manual,9443,130000.0
Renault Kwid,Renault,2017,16650,Petrol,Manual,4614,236000.0
Maruti Swift,Maruti,2016,86757,Petrol,Manual,7274,327000.0
Honda BR-V,Honda,2016,60100,Diesel,Manual,10823,411000.00000000006
Volkswagen Ameo,Volkswagen,2019,60801,Petrol,Manual,6143,348000.0
Hyundai GRAND I10 NIOS,Hyundai,2022,67745,Petrol,Manual,11033,625000.0
Maruti Dzire,Maruti,2020,21295,Petrol,Manual,9991,566000.0
Datsun Go Plus,Datsun,2016,42202,Petrol,Manual,3804,171000.0
Maruti Dzire,Maruti,2017,56157,Diesel,Manual,7786,350000.0
Maruti Swift Dzire,Maruti,2015,145550,Diesel,Manual,10396,313000.0
Tata TIGOR,Tata,2022,37283,Petrol,Manual,9709,550000.0
Tata TIGOR,Tata,2022,174542,Petrol,Manual,13680,615000.0
Toyota Etios,Toyota,2011,49606,Petrol,Manual,13680,167000.0
Volkswagen Vento,Volkswagen,2012,124947,Diesel,Manual,13680,148000.0
Hyundai i20 Active,Hyundai,2017,126640,Petrol,Manual,9165,412000.0
Chevrolet Spark,Chevrolet,2013,50812,Petrol,Manual,4095,87000.0
Mahindra XUV500,Mahindra,2017,37063,Diesel,Manual,16092,723000.0
Mahindra XUV500,Mahindra,2014,55321,Diesel,Manual,20195,429000.0
Honda City,Honda,2016,155892,Petrol,Manual,13525,608000.0
Maruti Alto K10,Maruti,2010,53720,Petrol,Manual,13525,119000.0
Maruti Wagon R 1.0,Maruti,2011,72387,Petrol,Manual,13525,136000.0
Hyundai Santro Xing,Hyundai,2011,22150,Petrol,Manual,13525,100000.0
Maruti Swift Dzire,Maruti,2016,132491,Petrol,Manual,7299,328000.0
Renault Duster,Renault,2015,59926,Diesel,Manual,9964,300000.0
Mahindra XUV500,Mahindra,2014,124383,Diesel,Manual,18829,400000.0
Hyundai i10,Hyundai,2011,24400,Petrol,Manual,18829,136000.0
Hyundai Elite i20,Hyundai,2019,39242,Petrol,Manual,7132,404000.0
Maruti Dzire,Maruti,2019,158519,Diesel,Manual,10989,494000.00000000006
Maruti Swift Dzire,Maruti,2011,42155,Petrol,Manual,10989,173000.0
Maruti Wagon R 1.0,Maruti,2011,65926,Petrol,Manual,10989,131000.0
Volkswagen Polo,Volkswagen,2018,34097,Petrol,Manual,7855,445000.0
Tata Tiago,Tata,2016,129210,Petrol,Manual,5650,254000.0
Maruti Wagon R 1.0,Maruti,2015,66296,Petrol,Manual,6926,263000.0
Hyundai Grand i10,Hyundai,2016,72231,Petrol,Manual,5606,252000.0
Maruti Alto,Maruti,2021,40068,Petrol,Manual,5755,326000.0
Maruti Zen Estilo,Maruti,2011,129698,Petrol,Manual,5755,112999.99999999999
Tata Indigo ECS,Tata,2015,99416,Diesel,Manual,5148,155000.0
Nissan Kicks,Nissan,2019,44257,Petrol,Manual,10239,580000.0
Tata NEXON,Tata,2019,69787,Petrol,Manual,10592,600000.0
Maruti Swift Dzire,Maruti,2015,188000,Diesel,Manual,9234,278000.0
Hyundai Grand i10,Hyundai,2019,65000,Petrol,Manual,5719,324000.0
Maruti Dzire,Maruti,2017,40246,Petrol,Manual,8016,409999.99999999994
Ford Ecosport,Ford,2015,3,Diesel,Manual,10894,328000.0
Hyundai Xcent,Hyundai,2015,80402,Diesel,Manual,7905,238000.0
Honda City,Honda,2016,88784,Petrol,Auto,10522,473000.00000000006
Ford Ecosport,Ford,2015,93984,Diesel,Manual,10164,306000.0
Maruti Vitara Brezza,Maruti,2022,17616,Petrol,Manual,15444,902000.0
Hyundai Verna,Hyundai,2020,49737,Petrol,Manual,15222,889000.0
Maruti Swift Dzire,Maruti,2014,87739,Petrol,Manual,9034,272000.0
Renault Kwid,Renault,2020,54950,Petrol,Auto,7803,442000.0
