car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Honda Jazz,Honda,2018,47411,Petrol,Auto,11474,650000.0
Maruti Vitara Brezza,Maruti,2018,55196,Diesel,Auto,15249,780000.0
Ford Figo Aspire,Ford,2017,42174,Petrol,Manual,7656,392000.0
Hyundai Creta,Hyundai,2024,8823,Petrol,Auto,30820,1800000.0
Renault Kwid,Renault,2017,49297,Petrol,Auto,5762,295000.0
Honda City,Honda,2017,43945,Petrol,Manual,10296,527000.0
Mahindra BOLERO NEO,Mahindra,2021,14978,Diesel,Manual,13930,814000.0
Maruti Ciaz,Maruti,2016,52851,Petrol,Manual,10136,455999.99999999994
Skoda Rapid,Skoda,2013,102515,Diesel,Manual,33590,378000.0
Hyundai Verna,Hyundai,2012,100626,Petrol,Manual,29764,335000.0
Hyundai Verna,Hyundai,2017,79333,Petrol,Manual,12156,622000.0
Chevrolet Aveo,Chevrolet,2012,37826,Petrol,Manual,16082,181000.0
Honda Jazz,Honda,2017,91101,Petrol,Manual,8424,430999.99999999994
Hyundai Grand i10,Hyundai,2019,52431,Petrol,Auto,8547,484000.0
Honda City,Honda,2018,74431,Petrol,Manual,11651,660000.0
Maruti Celerio X,Maruti,2019,33537,Petrol,Auto,7669,434000.0
KIA SELTOS,KIA,2019,87807,Diesel,Auto,16423,959000.0
Chevrolet Sail,Chevrolet,2016,47752,Petrol,Manual,6252,281000.0
Toyota Etios Liva,Toyota,2012,96531,Petrol,Manual,25715,289000.0
Honda Amaze,Honda,2018,29472,Diesel,Manual,12121,620000.0
Maruti Wagon R Stingray,Maruti,2014,99934,Petrol,Manual,8976,270000.0
Maruti IGNIS,Maruti,2019,34701,Petrol,Auto,8138,461000.00000000006
Hyundai Creta,Hyundai,2016,41701,Petrol,Manual,16928,761000.0
Hyundai VENUE,Hyundai,2021,30184,Petrol,Manual,13734,778000.0
Maruti Dzire,Maruti,2018,32548,Petrol,Auto,10002,567000.0
Hyundai Grand i10,Hyundai,2015,66688,Petrol,Manual,8954,340000.0
Hyundai i20 Active,Hyundai,2016,91318,Petrol,Manual,9943,447000.0
KIA SONET,KIA,2022,46589,Diesel,Auto,21403,1250000.0
Maruti Swift,Maruti,2019,33840,Petrol,Auto,11184,634000.0
Maruti Grand Vitara,Maruti,2022,52705,Petrol,Auto,22944,1340000.0
Volkswagen Polo,Volkswagen,2021,32836,Petrol,Auto,13928,789000.0
Honda Brio,Honda,2013,119328,Petrol,Manual,8426,179000.0
Renault Duster,Renault,2016,97900,Diesel,Manual,14858,564000.0
Mahindra XUV500,Mahindra,2014,71221,Diesel,Manual,30598,650000.0
Hyundai NEW SANTRO,Hyundai,2020,46872,Petrol,Manual,5715,324000.0
Honda Amaze,Honda,2018,51564,Petrol,Manual,8088,458000.0
Maruti Swift Dzire,Maruti,2014,96897,Diesel,Manual,18829,400000.0
Maruti Wagon R 1.0,Maruti,2018,57297,Petrol,Auto,5684,322000.0
Tata TIAGO NRG,Tata,2023,48348,Petrol,Auto,9991,566000.0
Volkswagen Vento,Volkswagen,2014,64278,Petrol,Manual,13536,408000.0
Toyota YARIS,Toyota,2018,77860,Petrol,Auto,9145,518000.0
Toyota Glanza,Toyota,2022,62831,Petrol,Manual,9169,519000.00000000006
Tata Tiago,Tata,2016,57688,Petrol,Manual,6406,288000.0
Hyundai VENUE,Hyundai,2019,56567,Petrol,Auto,10945,620000.0
Hyundai Verna,Hyundai,2018,59644,Petrol,Manual,12775,724000.0
Tata Tiago,Tata,2016,82759,Petrol,Manual,7215,324000.0
Renault Kwid,Renault,2019,44072,Petrol,Manual,4343,246000.0
KIA SONET,KIA,2020,74575,Petrol,Manual,11010,624000.0
Maruti Ciaz,Maruti,2018,46800,Petrol,Auto,9642,546000.0
Honda City,Honda,2015,111049,Petrol,Auto,10797,409999.99999999994
Maruti Swift,Maruti,2022,2718,Petrol,Auto,11332,642000.0
Nissan Kicks,Nissan,2019,48512,Diesel,Manual,10138,574000.0
Ford New Figo,Ford,2020,64216,Petrol,Manual,8826,500000.0
KIA SONET,KIA,2022,27304,Petrol,Manual,12710,720000.0
Mahindra XUV500,Mahindra,2018,52365,Diesel,Manual,22269,1170000.0
Ford Figo Aspire,Ford,2017,42991,Petrol,Manual,6999,358000.0
Honda WR-V,Honda,2017,72856,Petrol,Manual,10049,513999.99999999994
Mahindra Thar,Mahindra,2021,25942,Petrol,Auto,20752,1212000.0
Nissan MAGNITE,Nissan,2025,2391,Petrol,Auto,12004,680000.0
Hyundai Elite i20,Hyundai,2014,92759,Petrol,Manual,13419,404000.0
KIA SELTOS,KIA,2021,48395,Petrol,Manual,17482,1021000.0000000001
Nissan Kicks,Nissan,2019,44745,Petrol,Manual,8067,457000.0
Hyundai Elite i20,Hyundai,2018,53812,Petrol,Auto,8650,490000.00000000006
Tata NEXON,Tata,2020,62762,Petrol,Manual,12237,693000.0
Tata ALTROZ,Tata,2022,80230,Petrol,Manual,10362,587000.0
Honda City,Honda,2020,41023,Petrol,Manual,14383,840000.0
Hyundai Creta,Hyundai,2018,80514,Diesel,Manual,17321,910000.0
Toyota Innova Crysta,Toyota,2022,22173,Petrol,Auto,29349,1714000.0
Hyundai i10,Hyundai,2014,65854,Petrol,Manual,6643,200000.0
Chevrolet Beat,Chevrolet,2013,53420,Petrol,Manual,6826,145000.0
Hyundai Grand i10,Hyundai,2019,36690,Petrol,Manual,6037,342000.0
Toyota YARIS,Toyota,2020,49011,Petrol,Manual,9767,553000.0
KIA SONET,KIA,2021,34880,Diesel,Manual,15256,891000.0
Maruti Swift,Maruti,2018,66524,Petrol,Manual,7908,448000.00000000006
Hyundai Creta,Hyundai,2018,49948,Petrol,Auto,14537,849000.0
Renault TRIBER,Renault,2020,39239,Petrol,Auto,10668,604000.0
Mahindra XUV300,Mahindra,2019,80155,Diesel,Manual,14606,852999.9999999999
Tata TIGOR,Tata,2018,28797,Petrol,Auto,8032,455000.0
Tata NEXON,Tata,2023,35232,Petrol,Manual,13504,765000.0
Hyundai Elite i20,Hyundai,2015,42962,Petrol,Manual,12640,480000.0
Hyundai Verna,Hyundai,2017,34773,Petrol,Auto,13490,690000.0
Hyundai Elite i20,Hyundai,2017,33805,Petrol,Auto,8362,428000.0
Maruti Alto 800,Maruti,2014,69527,Petrol,Manual,7681,231000.0
Maruti Swift,Maruti,2018,61367,Petrol,Auto,8305,470000.0
Maruti Baleno,Maruti,2016,46313,Petrol,Manual,8720,392000.0
Hyundai i20,Hyundai,2014,36575,Petrol,Auto,11459,345000.0
Volkswagen Polo,Volkswagen,2020,86105,Petrol,Manual,9584,543000.0
Mahindra XUV300,Mahindra,2019,75257,Petrol,Manual,9179,520000.0
Honda Jazz,Honda,2017,78904,Petrol,Auto,7038,360000.0
Hyundai NEW SANTRO,Hyundai,2018,74553,Petrol,Manual,6759,383000.0
Hyundai Verna,Hyundai,2019,48411,Petrol,Manual,13698,800000.0
Tata Tiago,Tata,2019,37452,Petrol,Manual,6320,358000.0
Tata TIGOR,Tata,2021,22399,Petrol,Auto,8826,500000.0
Jeep Compass,Jeep,2018,145715,Diesel,Manual,17462,785000.0
Hyundai VENUE,Hyundai,2021,50645,Diesel,Manual,12745,722000.0
Nissan MAGNITE,Nissan,2021,69890,Petrol,Manual,8473,480000.0
Hyundai Creta,Hyundai,2017,139997,Petrol,Auto,15532,698000.0
Renault Kiger,Renault,2021,36867,Petrol,Auto,8297,470000.0
Hyundai Elite i20,Hyundai,2018,23926,Petrol,Auto,8791,498000.00000000006
Tata NEXON,Tata,2024,39150,Petrol,Manual,13328,755000.0
Hyundai Eon,Hyundai,2014,84097,Petrol,Manual,4816,145000.0
Honda Amaze,Honda,2023,23392,Petrol,Auto,14045,796000.0
Skoda Rapid,Skoda,2018,124743,Diesel,Auto,12123,545000.0
Skoda SLAVIA,Skoda,2022,69901,Petrol,Manual,14212,830000.0000000001
KIA SONET,KIA,2020,32564,Petrol,Manual,12808,726000.0
Maruti S Cross,Maruti,2017,87011,Diesel,Manual,13080,588000.0
Volkswagen Polo,Volkswagen,2017,66810,Petrol,Manual,10253,524000.0
Maruti Celerio,Maruti,2019,62707,Petrol,Auto,5861,332000.0
Honda WR-V,Honda,2017,55521,Petrol,Manual,9583,490000.00000000006
Honda Amaze,Honda,2023,5709,Petrol,Auto,13942,790000.0
Hyundai Elite i20,Hyundai,2018,50297,Petrol,Auto,11241,637000.0
Maruti S PRESSO,Maruti,2022,40904,Petrol,Manual,5772,327000.0
Hyundai Grand i10,Hyundai,2015,62226,Petrol,Auto,8743,332000.0
Hyundai NEW I20,Hyundai,2021,60448,Petrol,Auto,12528,710000.0
Maruti Alto 800,Maruti,2015,88606,Petrol,Manual,4872,185000.0
Renault Scala,Renault,2013,74643,Diesel,Manual,24789,279000.0
Tata NEXON,Tata,2024,19882,Petrol,Manual,13458,762000.0
Tata NEXON,Tata,2022,21723,Petrol,Manual,11969,678000.0
Renault TRIBER,Renault,2020,49318,Petrol,Auto,8297,470000.0
Hyundai i20 Active,Hyundai,2018,44751,Petrol,Manual,10466,593000.0
Honda Amaze,Honda,2023,11458,Petrol,Manual,11721,664000.0
MG HECTOR,MG,2021,35992,Diesel,Manual,18852,1101000.0
Maruti Swift,Maruti,2023,31370,Petrol,Auto,11651,660000.0
Honda City,Honda,2019,44916,Petrol,Auto,12110,686000.0
Hyundai VENUE,Hyundai,2020,58065,Petrol,Manual,11404,646000.0
Hyundai Eon,Hyundai,2015,82902,Petrol,Manual,5082,193000.0
Nissan Kicks,Nissan,2019,65368,Diesel,Manual,10609,601000.0
Tata Nano,Tata,2016,45511,Petrol,Auto,3670,165000.0
Hyundai NEW I20,Hyundai,2022,11382,Petrol,Manual,12004,680000.0
Nissan MAGNITE,Nissan,2023,46300,Petrol,Manual,9550,541000.0
MG HECTOR,MG,2019,95164,Diesel,Manual,14349,838000.0000000001
Maruti Baleno,Maruti,2018,98712,Petrol,Auto,7732,438000.0
Tata NEXON,Tata,2023,17001,Petrol,Manual,13893,787000.0
Maruti Swift,Maruti,2013,108127,Petrol,Manual,13651,290000.0
Maruti Celerio,Maruti,2019,67299,Petrol,Manual,6394,362000.0
Hyundai VENUE,Hyundai,2020,27714,Petrol,Manual,11827,670000.0
Volkswagen Cross Polo,Volkswagen,2013,45994,Diesel,Manual,33247,374000.0
Maruti Swift,Maruti,2016,121707,Petrol,Manual,7868,354000.0
Renault Kwid,Renault,2017,85764,Petrol,Manual,4027,206000.0
Toyota Urban Cruiser Taisor,Toyota,2024,21390,Petrol,Manual,15753,919999.9999999999
Hyundai Grand i10,Hyundai,2019,13658,Petrol,Auto,9500,538000.0
Honda WR-V,Honda,2017,144831,Diesel,Manual,11100,499000.0
MG HECTOR,MG,2020,97037,Petrol,Auto,15479,903999.9999999999
Volkswagen Vento,Volkswagen,2014,82675,Diesel,Auto,20057,426000.0
Toyota URBAN CRUISER HYRYDER,Toyota,2023,33241,Hybrid,Auto,24965,1458000.0
Hyundai Creta,Hyundai,2021,47624,Petrol,Manual,18270,1067000.0
Hyundai Grand i10,Hyundai,2014,55667,Petrol,Manual,9034,272000.0
Hyundai NEW SANTRO,Hyundai,2019,36924,Petrol,Manual,5119,290000.0
Tata NEXON,Tata,2018,52519,Petrol,Auto,8473,480000.0
Maruti Celerio,Maruti,2017,42701,Petrol,Auto,7533,385000.0
Maruti Baleno,Maruti,2016,63690,Petrol,Manual,9676,434999.99999999994
Honda Jazz,Honda,2015,80054,Petrol,Auto,9296,353000.0
Datsun Go,Datsun,2014,59457,Petrol,Manual,6111,184000.0
Renault Kwid,Renault,2016,61912,Petrol,Manual,4783,215000.0
Maruti Alto K10,Maruti,2015,75228,Petrol,Auto,5583,212000.0
Ford New Figo,Ford,2016,79879,Petrol,Manual,7007,315000.0
Tata Tiago,Tata,2021,38116,Petrol,Manual,7679,434999.99999999994
Maruti IGNIS,Maruti,2018,53165,Petrol,Auto,7061,400000.0
Hyundai VENUE,Hyundai,2021,48742,Petrol,Manual,11121,630000.0
Hyundai Eon,Hyundai,2014,51648,Petrol,Manual,6483,195000.0
Honda City,Honda,2017,57720,Petrol,Auto,12766,653000.0
Maruti Celerio,Maruti,2022,19852,Petrol,Auto,9889,560000.0
Maruti Dzire,Maruti,2019,32100,Petrol,Auto,9550,541000.0
Hyundai NEW SANTRO,Hyundai,2019,14964,Petrol,Manual,6874,389000.0
Toyota Etios Liva,Toyota,2013,62440,Petrol,Manual,12333,262000.0
Hyundai VENUE,Hyundai,2021,78644,Petrol,Manual,12022,681000.0
Volkswagen TAIGUN,Volkswagen,2023,48669,Petrol,Manual,16428,959000.0
KIA SELTOS,KIA,2022,31594,Petrol,Manual,15941,931000.0
Maruti Dzire,Maruti,2017,75698,Petrol,Manual,8895,455000.0
Maruti Vitara Brezza,Maruti,2016,133214,Diesel,Manual,14694,558000.0
Hyundai Elite i20,Hyundai,2018,120685,Petrol,Manual,9387,422000.0
Mahindra XUV500,Mahindra,2015,83012,Diesel,Manual,25715,774000.0
Maruti S PRESSO,Maruti,2021,39450,Petrol,Auto,6761,383000.0
Maruti Vitara Brezza,Maruti,2019,28376,Diesel,Manual,14092,823000.0
Ford Ecosport,Ford,2018,132691,Diesel,Manual,12768,574000.0
Maruti Swift,Maruti,2023,14107,CNG,Manual,11474,650000.0
Renault Kwid,Renault,2022,49570,Petrol,Manual,6090,345000.0
Maruti Wagon R 1.0,Maruti,2017,72272,CNG,Auto,7426,282000.0
Hyundai VENUE,Hyundai,2021,35525,Petrol,Manual,11810,669000.0
Hyundai VENUE,Hyundai,2022,19024,Petrol,Manual,13222,749000.0
