car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Hyundai AURA,Hyundai,2022,56765,CNG,Manual,9797,555000.0
Maruti Baleno,Maruti,2017,40907,Diesel,Manual,9498,426999.99999999994
Maruti New Wagon-R,Maruti,2021,143837,CNG,Manual,8337,375000.0
Honda City,Honda,2019,60872,Petrol,Manual,11474,650000.0
Tata Tiago,Tata,2019,68403,Petrol,Manual,6012,341000.0
Tata PUNCH,Tata,2024,92619,CNG,Manual,11033,625000.0
Hyundai Elite i20,Hyundai,2016,57753,Petrol,Manual,9329,419000.00000000006
Mahindra BOLERO NEO,Mahindra,2022,102930,Diesel,Manual,13569,610000.0
Hyundai Xcent,Hyundai,2014,70366,Petrol,Manual,8594,259000.0
Renault Kwid,Renault,2022,42219,Petrol,Manual,5825,330000.0
Maruti Swift Dzire,Maruti,2017,74804,Petrol,Manual,7234,370000.0
Hyundai NEW I20,Hyundai,2023,43243,Petrol,Manual,10839,614000.0
MG HECTOR PLUS,MG,2021,30173,Diesel,Manual,20376,1190000.0
Maruti New Wagon-R,Maruti,2020,39212,Petrol,Auto,7767,440000.00000000006
Maruti Dzire,Maruti,2020,26604,Petrol,Manual,9356,530000.0
Maruti S PRESSO,Maruti,2020,108430,CNG,Manual,7229,325000.0
Maruti IGNIS,Maruti,2019,110617,Petrol,Auto,7431,334000.0
Maruti Baleno,Maruti,2023,106909,CNG,Manual,16350,735000.0
Volkswagen Polo,Volkswagen,2021,31674,Petrol,Manual,10327,585000.0
Renault Kwid,Renault,2022,31728,Petrol,Manual,5447,309000.0
Honda Amaze,Honda,2015,6293,Petrol,Manual,8354,317000.0
Maruti Swift Dzire,Maruti,2015,108479,Diesel,Manual,11791,355000.0
Hyundai Grand i10,Hyundai,2016,87439,Petrol,Manual,6673,300000.0
Maruti Swift,Maruti,2014,104665,Petrol,Manual,8974,270000.0
Tata NEXON,Tata,2022,40351,Petrol,Manual,10597,600000.0
Honda City,Honda,2016,101098,Petrol,Manual,9788,440000.00000000006
Mahindra XUV500,Mahindra,2017,93450,Diesel,Auto,17615,810000.0
Tata NEXON,Tata,2022,60123,Petrol,Manual,11474,650000.0
Honda Jazz,Honda,2016,62614,Petrol,Manual,7563,340000.0
Honda Jazz,Honda,2016,50423,Petrol,Manual,7341,330000.0
Honda WR-V,Honda,2019,53525,Petrol,Manual,9091,515000.00000000006
Tata ALTROZ,Tata,2020,68542,Petrol,Manual,7767,440000.00000000006
Ford FREESTYLE,Ford,2018,90419,Petrol,Manual,6443,365000.0
Maruti New Wagon-R,Maruti,2021,122230,CNG,Manual,8787,395000.0
Maruti Ciaz,Maruti,2017,89139,Petrol,Manual,8430,430999.99999999994
Ford Figo Aspire,Ford,2018,44944,Petrol,Auto,6973,395000.0
Maruti Swift Dzire,Maruti,2014,58432,Petrol,Manual,10130,305000.0
Maruti Ciaz,Maruti,2018,47167,Petrol,Manual,9003,509999.99999999994
Honda City,Honda,2016,112545,Petrol,Manual,9565,430000.0
Honda Jazz,Honda,2016,56400,Petrol,Manual,7118,320000.0
Ford FREESTYLE,Ford,2018,44783,Petrol,Manual,7326,415000.00000000006
Tata NEXON,Tata,2018,108811,Diesel,Manual,11678,525000.0
Renault Kwid,Renault,2020,55015,Petrol,Auto,5415,307000.0
Toyota Etios,Toyota,2015,109045,Diesel,Manual,10801,325000.0
Tata Tiago,Tata,2023,31507,Petrol,Manual,9353,530000.0
Ford New Figo,Ford,2019,64987,Diesel,Manual,9515,539000.0
Honda Amaze,Honda,2015,145917,Petrol,Manual,6042,229000.0
Hyundai GRAND I10 NIOS,Hyundai,2020,37399,Petrol,Manual,5614,318000.0
Hyundai Xcent,Hyundai,2014,157335,Diesel,Manual,9697,206000.0
Honda Amaze,Honda,2018,89854,Petrol,Manual,7750,438999.99999999994
Tata TIGOR,Tata,2019,67002,Diesel,Manual,4784,271000.0
Hyundai Creta,Hyundai,2019,117499,Diesel,Manual,15860,713000.0
Hyundai Creta,Hyundai,2020,60322,Diesel,Manual,16095,940000.0
Skoda Rapid,Skoda,2019,110290,Diesel,Auto,14615,657000.0
Mahindra XUV300,Mahindra,2023,90646,Petrol,Manual,9709,550000.0
Nissan MAGNITE,Nissan,2021,80720,Petrol,Manual,6832,387000.0
Hyundai GRAND I10 NIOS,Hyundai,2019,26278,Petrol,Manual,6867,389000.0
Renault Kwid,Renault,2016,47610,Petrol,Manual,3604,162000.0
Mahindra XUV500,Mahindra,2012,147703,Diesel,Manual,3604,250000.0
Tata PUNCH,Tata,2023,28044,Petrol,Manual,13963,791000.0
Maruti Swift,Maruti,2014,116221,Petrol,Manual,6842,206000.0
MG HECTOR,MG,2020,93440,Diesel,Manual,13698,800000.0
Hyundai Xcent,Hyundai,2016,80139,Diesel,Manual,5214,198000.0
Maruti Swift Dzire,Maruti,2013,41954,Petrol,Manual,11203,238000.0
Maruti Swift Dzire,Maruti,2013,122033,Diesel,Manual,19813,223000.0
Ford Figo Aspire,Ford,2017,86123,Diesel,Manual,5739,258000.0
Hyundai i20,Hyundai,2012,62769,Petrol,Manual,13860,156000.0
Hyundai i20,Hyundai,2012,80353,Diesel,Manual,13860,216000.0
Maruti Wagon R 1.0,Maruti,2012,23627,Petrol,Manual,15993,180000.0
Maruti Alto 800,Maruti,2016,55000,Petrol,Manual,4493,202000.0
Maruti Celerio,Maruti,2016,112950,Petrol,Manual,5027,225999.99999999997
Hyundai Eon,Hyundai,2012,101272,Petrol,Manual,10129,113999.99999999999
Chevrolet Beat,Chevrolet,2014,83034,Diesel,Manual,5178,110000.00000000001
