car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Maruti IGNIS,Maruti,2019,44861,Petrol,Manual,6249,354000.0
Tata TIGOR,Tata,2018,127908,Diesel,Manual,7430,334000.0
Renault Kiger,Renault,2022,24766,Petrol,Manual,10592,600000.0
Maruti Baleno,Maruti,2016,96682,Petrol,Manual,7274,327000.0
KIA SONET,KIA,2022,100383,Diesel,Manual,16683,750000.0
Maruti S PRESSO,Maruti,2022,10555,Petrol,Manual,5843,331000.0
Honda WR-V,Honda,2017,71364,Petrol,Manual,8798,450000.0
Tata Harrier,Tata,2022,38400,Diesel,Auto,26095,1524000.0
Maruti Vitara Brezza,Maruti,2018,136142,Diesel,Manual,11567,520000.0
Hyundai Elite i20,Hyundai,2020,27327,Petrol,Manual,9409,533000.0
Maruti Swift,Maruti,2016,61286,Petrol,Manual,7786,350000.0
Volkswagen Jetta,Volkswagen,2012,95899,Diesel,Manual,7786,383000.0
Mahindra TUV300,Mahindra,2016,138000,Diesel,Manual,11850,450000.0
MG HECTOR,MG,2021,199323,Diesel,Manual,16127,725000.0
Hyundai Grand i10,Hyundai,2017,95802,Petrol,Manual,5885,301000.0
Maruti Ciaz,Maruti,2016,133248,Diesel,Manual,10850,412000.0
Maruti S Cross,Maruti,2018,273601,Diesel,Manual,7786,350000.0
Toyota Innova Crysta,Toyota,2017,97580,Diesel,Auto,28765,1323000.0
Mahindra Thar,Mahindra,2022,41561,Diesel,Auto,20855,1218000.0
Maruti Swift Dzire,Maruti,2019,131044,Petrol,Manual,7341,330000.0
Hyundai Creta,Hyundai,2018,72000,Petrol,Auto,13663,774000.0
Skoda SLAVIA,Skoda,2022,27500,Petrol,Auto,21403,1250000.0
Mahindra XUV500,Mahindra,2018,138547,Diesel,Manual,18133,834000.0
Mahindra XUV500,Mahindra,2015,104973,Diesel,Manual,13518,407000.0
Maruti S PRESSO,Maruti,2021,75000,Petrol,Manual,6178,350000.0
Maruti S Cross,Maruti,2016,143470,Diesel,Manual,10086,383000.0
Maruti Ertiga,Maruti,2012,188061,Diesel,Manual,10086,298000.0
Maruti S Cross,Maruti,2017,89593,Diesel,Manual,9788,440000.00000000006
Mahindra XUV500,Mahindra,2017,166578,Diesel,Manual,15571,700000.0
Honda City,Honda,2017,90043,Petrol,Manual,8798,450000.0
Maruti Alto,Maruti,2020,67071,Petrol,Manual,4819,273000.0
Mahindra XUV500,Mahindra,2015,82128,Diesel,Manual,13319,401000.0
Ford Ecosport,Ford,2017,141436,Diesel,Manual,9231,415000.00000000006
Mahindra XUV700,Mahindra,2021,52773,Diesel,Auto,26540,1550000.0
KIA SELTOS,KIA,2021,69196,Petrol,Manual,14040,819999.9999999999
Maruti IGNIS,Maruti,2017,73000,Petrol,Manual,6276,321000.0
Hyundai Creta,Hyundai,2015,137664,Diesel,Manual,16607,500000.0
Maruti Ciaz,Maruti,2014,99283,Diesel,Manual,14499,308000.0
Volkswagen VIRTUS,Volkswagen,2025,10165,Petrol,Manual,17893,1044999.9999999999
Maruti Vitara Brezza,Maruti,2018,132359,Diesel,Manual,12056,542000.0
Mahindra SCORPIO-N,Mahindra,2024,35727,Diesel,Auto,28149,1644000.0000000002
Maruti Vitara Brezza,Maruti,2020,106147,Petrol,Manual,12902,580000.0
Tata ALTROZ,Tata,2022,22000,Petrol,Auto,11474,650000.0
Honda WR-V,Honda,2018,77675,Petrol,Manual,7273,412000.0
BMW X1,BMW,2017,90000,Diesel,Auto,26091,1200000.0
KIA CARENS,KIA,2022,23561,Petrol,Manual,15924,930000.0000000001
Maruti Vitara Brezza,Maruti,2021,52324,Petrol,Manual,10945,620000.0
Ford Endeavour,Ford,2021,86150,Diesel,Auto,44484,2598000.0
Mahindra XUV500,Mahindra,2019,75503,Diesel,Auto,15410,900000.0
KIA SELTOS,KIA,2023,40054,Diesel,Manual,20615,1204000.0
Skoda SLAVIA,Skoda,2024,7885,Petrol,Manual,20598,1203000.0
Hyundai Creta,Hyundai,2015,187959,Diesel,Manual,16607,500000.0
Hyundai Creta,Hyundai,2022,82532,Diesel,Manual,18749,1095000.0
Skoda SLAVIA,Skoda,2022,45394,Petrol,Manual,14554,850000.0
Mahindra XUV500,Mahindra,2017,147846,Diesel,Manual,13636,613000.0
Honda Amaze,Honda,2025,2900,Petrol,Manual,13886,811000.0
