car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Datsun Redi Go,Datsun,2018,104773,Petrol,Manual,3203,144000.0
Maruti Celerio,Maruti,2014,79265,Petrol,Manual,7606,229000.0
Hyundai Creta,Hyundai,2017,94550,Petrol,Manual,10655,545000.0
KIA SELTOS,KIA,2020,74418,Diesel,Manual,14708,859000.0
Hyundai AURA,Hyundai,2022,27951,CNG,Manual,9781,554000.0
Maruti Alto 800,Maruti,2018,69702,CNG,Manual,5828,262000.0
Maruti Dzire,Maruti,2019,42205,Petrol,Manual,7543,426999.99999999994
Maruti Wagon R 1.0,Maruti,2015,95668,CNG,Manual,10017,213000.0
Toyota Innova Crysta,Toyota,2022,134428,Diesel,Auto,53921,2480000.0
Renault Kiger,Renault,2021,39237,Petrol,Auto,8863,501999.99999999994
Ford New Figo,Ford,2016,84195,CNG,Manual,8609,259000.0
Hyundai i20,Hyundai,2013,86274,Petrol,Manual,8817,187000.0
Maruti S PRESSO,Maruti,2020,54626,Petrol,Manual,5102,289000.0
Volkswagen Vento,Volkswagen,2016,74659,Petrol,Manual,7941,357000.0
Hyundai i20 Active,Hyundai,2017,89713,Petrol,Manual,7664,392000.0
Maruti Baleno,Maruti,2024,5570,Petrol,Auto,13659,774000.0
Maruti New Wagon-R,Maruti,2022,64273,Petrol,Manual,7061,400000.0
Jeep Compass,Jeep,2019,88507,Diesel,Manual,15622,911999.9999999999
Volkswagen Polo,Volkswagen,2017,59524,Petrol,Auto,9455,484000.0
Audi Q3,Audi,2016,73408,Diesel,Auto,35667,1380000.0
Honda City,Honda,2017,66841,Petrol,Auto,11821,605000.0
Maruti Celerio,Maruti,2015,33180,Petrol,Manual,6610,250999.99999999997
Tata Tiago,Tata,2018,62656,Petrol,Manual,5683,322000.0
Maruti Swift,Maruti,2017,40784,Petrol,Manual,7155,366000.0
Fiat Punto EVO,Fiat,2014,79687,Diesel,Manual,8633,183000.0
Renault TRIBER,Renault,2022,28081,Petrol,Auto,8650,490000.00000000006
Maruti Alto K10,Maruti,2013,55401,Petrol,Manual,8248,175000.0
Maruti Celerio,Maruti,2015,36276,Petrol,Auto,6636,252000.0
KIA SELTOS,KIA,2022,35856,Petrol,Manual,23455,1370000.0
Maruti Swift Dzire,Maruti,2013,93343,CNG,Manual,23455,264000.0
Hyundai i10,Hyundai,2013,104045,Petrol,Manual,8313,177000.0
Maruti Grand Vitara,Maruti,2023,65480,CNG,Manual,17979,1050000.0
Maruti Baleno,Maruti,2018,55742,Petrol,Manual,7679,434999.99999999994
MG ASTOR,MG,2022,52428,Petrol,Manual,12904,731000.0
Renault Kwid,Renault,2016,80826,Petrol,Manual,3982,179000.0
Tata TIGOR,Tata,2018,52282,Petrol,Manual,6406,363000.0
Maruti Ciaz,Maruti,2016,124512,Petrol,Manual,8050,362000.0
