car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Maruti Celerio,Maruti,2017,86668,Petrol,Manual,5865,300000.0
Tata Tiago,Tata,2017,65432,Petrol,Manual,6572,336000.0
Honda Amaze,Honda,2022,26343,Petrol,Manual,9532,540000.0
Skoda Rapid,Skoda,2018,92251,Diesel,Manual,9971,509999.99999999994
Nissan Kicks,Nissan,2019,98840,Diesel,Manual,8474,480000.0
Maruti Baleno,Maruti,2021,95659,Petrol,Auto,9709,550000.0
Tata NEXON,Tata,2019,111783,Petrol,Manual,9244,416000.0
Honda City,Honda,2019,46741,Diesel,Manual,9841,557000.0
Hyundai NEW SANTRO,Hyundai,2021,28560,Petrol,Manual,6885,390000.0
Maruti S PRESSO,Maruti,2021,76607,Petrol,Manual,5523,313000.0
Skoda SLAVIA,Skoda,2022,52763,Petrol,Auto,15753,919999.9999999999
Hyundai VENUE,Hyundai,2020,103236,Petrol,Manual,10900,490000.00000000006
Maruti Alto 800,Maruti,2016,55877,Petrol,Manual,4427,199000.0
Maruti Swift,Maruti,2023,44029,Petrol,Manual,11474,650000.0
Honda City,Honda,2020,91515,Petrol,Auto,14122,800000.0
Mahindra KUV 100 NXT,Mahindra,2018,63047,Petrol,Manual,5208,295000.0
Maruti Dzire,Maruti,2020,127250,CNG,Manual,10789,484999.99999999994
Skoda SLAVIA,Skoda,2022,51064,Petrol,Manual,14642,855000.0000000001
Volkswagen Ameo,Volkswagen,2016,79717,Petrol,Manual,6518,293000.0
KIA SELTOS,KIA,2021,29800,Petrol,Manual,13501,765000.0
Nissan MAGNITE,Nissan,2024,15036,Petrol,Auto,8826,500000.0
Hyundai AURA,Hyundai,2022,45032,Petrol,Manual,9794,555000.0
Nissan MAGNITE,Nissan,2023,27930,Petrol,Manual,8470,480000.0
Hyundai GRAND I10 NIOS,Hyundai,2022,58830,Petrol,Manual,6428,364000.0
Volkswagen Ameo,Volkswagen,2019,49461,Diesel,Manual,8120,459999.99999999994
Mahindra Thar,Mahindra,2021,60890,Diesel,Auto,17037,994999.9999999999
Honda City,Honda,2014,34314,Petrol,Manual,10296,310000.0
Volkswagen Polo,Volkswagen,2020,70362,Petrol,Manual,6720,381000.0
Maruti Baleno,Maruti,2016,53335,Petrol,Auto,7613,342000.0
Tata TIGOR,Tata,2021,23482,Petrol,Manual,6796,385000.0
KIA CARENS,KIA,2024,20724,Petrol,Manual,16181,944999.9999999999
Maruti Swift,Maruti,2015,73731,Petrol,Manual,9077,345000.0
Tata Harrier,Tata,2022,60641,Diesel,Auto,23150,1352000.0
Maruti Baleno,Maruti,2017,96493,Petrol,Auto,7722,395000.0
Maruti Alto K10,Maruti,2025,7736,Petrol,Manual,7591,430000.0
Hyundai NEW I20,Hyundai,2023,39600,Petrol,Manual,10415,590000.0
Honda City,Honda,2019,34159,Petrol,Manual,9797,555000.0
Renault TRIBER,Renault,2022,72311,Petrol,Manual,7497,425000.0
Hyundai Verna,Hyundai,2018,68211,Diesel,Manual,15128,774000.0
Maruti Celerio,Maruti,2021,68756,Petrol,Auto,7149,405000.0
Hyundai Creta,Hyundai,2016,99170,Petrol,Auto,11790,530000.0
Volkswagen Vento,Volkswagen,2017,99230,Diesel,Auto,10496,472000.0
Maruti Alto K10,Maruti,2018,61893,Petrol,Manual,4712,267000.0
Hyundai Elite i20,Hyundai,2019,83244,Petrol,Manual,7235,409999.99999999994
Maruti Vitara Brezza,Maruti,2020,71046,Petrol,Manual,10768,610000.0
Ford Ecosport,Ford,2018,142097,Diesel,Manual,11456,515000.00000000006
Honda Amaze,Honda,2014,82448,Petrol,Manual,7971,240000.0
Maruti IGNIS,Maruti,2018,55687,Petrol,Manual,6620,375000.0
Hyundai VENUE,Hyundai,2019,78033,Petrol,Auto,10771,610000.0
Hyundai Elite i20,Hyundai,2019,85850,Petrol,Manual,7224,409000.0
Hyundai Eon,Hyundai,2015,68938,Petrol,Manual,5398,204999.99999999997
Volkswagen Vento,Volkswagen,2018,131512,Diesel,Auto,11016,495000.0
Maruti Swift,Maruti,2023,19862,Petrol,Auto,10768,610000.0
Hyundai Verna,Hyundai,2023,24896,Petrol,Manual,17205,1005000.0000000001
Honda Amaze,Honda,2014,63777,CNG,Manual,23101,260000.0
KIA SONET,KIA,2023,19847,Petrol,Manual,14040,819999.9999999999
Honda Amaze,Honda,2021,53671,Petrol,Manual,8562,484999.99999999994
Maruti Vitara Brezza,Maruti,2022,56114,Petrol,Manual,10945,620000.0
KIA SONET,KIA,2020,59261,Petrol,Auto,11127,630000.0
Tata NEXON,Tata,2018,96091,Petrol,Manual,7058,400000.0
Toyota Glanza,Toyota,2019,53194,Petrol,Manual,8385,475000.0
Hyundai NEW I20,Hyundai,2020,66458,Petrol,Manual,9091,515000.00000000006
MG HECTOR,MG,2019,56612,Diesel,Manual,17122,1000000.0
Maruti Celerio,Maruti,2021,52331,Petrol,Manual,6620,375000.0
Honda Amaze,Honda,2018,66454,Diesel,Auto,10362,530000.0
Skoda SLAVIA,Skoda,2022,75166,Petrol,Manual,12803,725000.0
Maruti Alto 800,Maruti,2017,81982,Petrol,Manual,4497,229999.99999999997
Hyundai Elite i20,Hyundai,2020,38720,Petrol,Manual,8650,490000.00000000006
Tata ALTROZ,Tata,2023,37220,Petrol,Manual,11807,669000.0
Hyundai Grand i10,Hyundai,2020,13254,Petrol,Manual,7238,409999.99999999994
Maruti Vitara Brezza,Maruti,2020,42566,Diesel,Manual,12269,695000.0
Tata TIAGO NRG,Tata,2022,32601,CNG,Auto,10150,575000.0
Honda Amaze,Honda,2016,23030,Petrol,Manual,7229,325000.0
Tata Tiago,Tata,2018,51520,Petrol,Manual,6109,346000.0
Honda Amaze,Honda,2022,34195,Petrol,Manual,10945,620000.0
Tata TIGOR,Tata,2018,79067,Petrol,Manual,5583,316000.0
Tata Hexa,Tata,2017,57257,Diesel,Auto,14090,633000.0
Mahindra BOLERO NEO,Mahindra,2022,42523,Diesel,Manual,14760,861999.9999999999
Hyundai Xcent,Hyundai,2017,101762,Petrol,Manual,7341,330000.0
KIA SYROS,KIA,2025,2598,Petrol,Manual,17037,994999.9999999999
Maruti Celerio,Maruti,2017,91381,Petrol,Auto,6162,315000.0
Hyundai Elite i20,Hyundai,2017,93604,Petrol,Manual,8010,409999.99999999994
Maruti Wagon R 1.0,Maruti,2018,48105,Petrol,Auto,5649,320000.0
Honda City,Honda,2019,42966,Petrol,Manual,10852,615000.0
Hyundai Elite i20,Hyundai,2017,91027,Petrol,Manual,8016,409999.99999999994
Mahindra MARAZZO,Mahindra,2019,69853,Diesel,Manual,10768,610000.0
Honda City,Honda,2019,54188,Petrol,Auto,9744,552000.0
Maruti S Cross,Maruti,2020,11656,Petrol,Manual,11853,671000.0
Hyundai Elite i20,Hyundai,2017,87263,Petrol,Manual,8521,436000.00000000006
Ford FREESTYLE,Ford,2018,128009,Petrol,Manual,6890,310000.0
Honda WR-V,Honda,2017,146319,Petrol,Manual,8125,365000.0
Hyundai Elite i20,Hyundai,2017,61636,Petrol,Manual,8700,445000.0
Honda City,Honda,2018,41960,Petrol,Auto,10244,580000.0
Honda City,Honda,2017,68322,Petrol,Auto,10459,535000.0
