car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Maruti Alto 800,Maruti,2013,59183,Petrol,Manual,8084,172000.0
Tata TIGOR,Tata,2018,60000,Petrol,Manual,5737,325000.0
Hyundai Creta,Hyundai,2018,77164,Diesel,Manual,12871,658000.0
Mahindra Kuv100,Mahindra,2016,92583,Diesel,Manual,6683,254000.0
Mahindra Kuv100,Mahindra,2018,44360,Petrol,Manual,5649,320000.0
Maruti Vitara Brezza,Maruti,2018,92123,Diesel,Manual,11364,581000.0
Renault Kwid,Renault,2016,51025,Petrol,Manual,1869,84000.0
Maruti Swift Dzire,Maruti,2014,146456,Diesel,Manual,10027,213000.0
Maruti Wagon R 1.0,Maruti,2015,91043,Petrol,Manual,5662,215000.0
Renault TRIBER,Renault,2021,77734,Petrol,Manual,7785,441000.0
Maruti Wagon R 1.0,Maruti,2017,25383,Petrol,Manual,5318,272000.0
Maruti Swift,Maruti,2015,69191,Petrol,Manual,7136,271000.0
Ford Ecosport,Ford,2018,65233,Petrol,Auto,8597,487000.0
Maruti Swift,Maruti,2019,72828,Petrol,Manual,6584,373000.0
Mahindra XUV300,Mahindra,2019,111654,Diesel,Manual,12234,550000.0
Ford Ecosport,Ford,2016,62580,Diesel,Manual,7531,286000.0
Maruti Dzire,Maruti,2020,116330,Petrol,Manual,9031,405999.99999999994
Mahindra TUV300,Mahindra,2018,120160,Diesel,Manual,7207,324000.0
Maruti Vitara Brezza,Maruti,2016,75779,Diesel,Manual,9770,371000.0
Maruti Swift Dzire,Maruti,2013,61591,Petrol,Manual,10356,220000.00000000003
Renault Kwid,Renault,2018,40927,Petrol,Manual,3125,177000.0
Hyundai Verna,Hyundai,2012,155731,Diesel,Manual,3125,183000.0
Hyundai Elite i20,Hyundai,2019,27918,Petrol,Manual,6514,369000.0
Mahindra XUV500,Mahindra,2013,73010,Diesel,Manual,20169,227000.0
MG HECTOR,MG,2019,39851,Petrol,Auto,13823,783000.0
Datsun Go,Datsun,2015,30000,Petrol,Manual,2844,108000.0
Maruti Swift,Maruti,2013,189478,Diesel,Manual,20435,229999.99999999997
Maruti Swift,Maruti,2012,119457,Diesel,Manual,20435,194000.0
Hyundai Verna,Hyundai,2013,139497,Diesel,Manual,19280,217000.0
Maruti Swift,Maruti,2012,51449,Diesel,Manual,19280,196000.0
Maruti Swift Dzire,Maruti,2014,111693,Diesel,Manual,11721,249000.00000000003
Hyundai Verna,Hyundai,2017,195000,Diesel,Manual,11745,528000.0
Maruti Alto 800,Maruti,2018,73600,Petrol,Manual,3566,202000.0
