car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Hyundai Grand i10,Hyundai,2015,78834,CNG,Manual,15319,325000.0
Maruti Wagon R 1.0,Maruti,2013,34617,Petrol,Manual,10101,215000.0
KIA SONET,KIA,2022,22105,Petrol,Manual,12357,700000.0
Honda Amaze,Honda,2013,59022,Diesel,Manual,21435,241000.0
Hyundai i20,Hyundai,2013,54961,Petrol,Manual,13259,282000.0
Hyundai Eon,Hyundai,2017,11320,Petrol,Manual,4568,234000.0
Hyundai VENUE,Hyundai,2019,65385,Petrol,Auto,11651,660000.0
Nissan MAGNITE,Nissan,2023,39099,Petrol,Auto,12004,680000.0
Hyundai Elite i20,Hyundai,2019,117259,CNG,Manual,11345,509999.99999999994
Honda WR-V,Honda,2017,106869,Diesel,Manual,10789,484999.99999999994
KIA SONET,KIA,2022,36812,Diesel,Manual,13847,784000.0
Honda Amaze,Honda,2015,35930,Petrol,Manual,7510,285000.0
Hyundai NEW I20,Hyundai,2021,45985,Petrol,Auto,11474,650000.0
Nissan Micra,Nissan,2020,79380,Petrol,Auto,7941,450000.0
Maruti Alto 800,Maruti,2018,36240,Petrol,Manual,4237,240000.0
Maruti Alto 800,Maruti,2017,97714,Petrol,Manual,4106,210000.0
Tata NEXON,Tata,2021,50137,Petrol,Auto,12883,730000.0
Hyundai Elite i20,Hyundai,2019,111991,CNG,Manual,11790,530000.0
MG ASTOR,MG,2022,65670,Petrol,Auto,15325,894999.9999999999
Hyundai Elite i20,Hyundai,2019,79137,CNG,Manual,10147,519000.00000000006
Maruti Wagon R 1.0,Maruti,2013,38044,Petrol,Manual,9166,195000.0
Hyundai i20 Active,Hyundai,2017,21209,Petrol,Manual,9888,505999.99999999994
Maruti Alto,Maruti,2020,25461,Petrol,Manual,4176,237000.0
Maruti Alto 800,Maruti,2016,37039,Petrol,Manual,5076,227999.99999999997
Mahindra XUV500,Mahindra,2016,84561,Diesel,Auto,14457,549000.0
Maruti Swift Dzire,Maruti,2015,168545,Diesel,Manual,11592,349000.0
Maruti Baleno,Maruti,2020,111527,Petrol,Manual,9165,412000.0
Maruti Swift,Maruti,2018,77520,Diesel,Auto,7390,378000.0
Tata Tiago,Tata,2016,100705,Diesel,Manual,5161,196000.0
Honda WR-V,Honda,2018,95198,Diesel,Manual,6843,350000.0
Maruti Alto 800,Maruti,2017,117920,Petrol,Manual,5138,231000.0
Maruti Alto 800,Maruti,2012,85216,Petrol,Manual,11995,135000.0
Volkswagen Polo,Volkswagen,2014,90876,Diesel,Manual,8097,172000.0
Maruti New Wagon-R,Maruti,2019,70515,Petrol,Manual,5472,310000.0
Renault TRIBER,Renault,2019,45650,Petrol,Manual,6161,349000.0
Maruti Eeco,Maruti,2018,131786,Petrol,Manual,6629,298000.0
Ford Ecosport,Ford,2015,98852,Diesel,Manual,9665,291000.0
Maruti Alto 800,Maruti,2015,25165,Petrol,Manual,5530,210000.0
Mercedes Benz GLC CLASS,Mercedes,2018,93906,Diesel,Auto,38258,2010000.0000000002
Hyundai Verna,Hyundai,2012,104002,Diesel,Auto,38258,149000.0
Maruti Swift,Maruti,2018,89001,Petrol,Manual,7061,400000.0
Maruti Alto 800,Maruti,2014,101992,Petrol,Manual,5049,152000.0
Maruti Alto 800,Maruti,2017,135730,Petrol,Manual,4315,194000.0
Maruti Wagon R 1.0,Maruti,2013,64760,Petrol,Manual,8050,171000.0
Maruti Swift Dzire,Maruti,2013,97882,Petrol,Manual,8790,187000.0
Maruti Alto 800,Maruti,2015,131681,Petrol,Manual,4082,155000.0
Maruti Eeco,Maruti,2020,49217,Petrol,Manual,6743,382000.0
Maruti Swift Dzire,Maruti,2013,72109,Petrol,Manual,8662,184000.0
Hyundai i10,Hyundai,2015,104444,Petrol,Manual,7031,267000.0
Renault Kwid,Renault,2016,70485,Petrol,Manual,3292,148000.0
Honda Amaze,Honda,2015,105258,Petrol,Manual,7268,276000.0
Maruti Swift,Maruti,2013,90562,Diesel,Manual,24967,281000.0
Ford Figo Aspire,Ford,2017,85826,Petrol,Manual,5122,262000.0
Maruti Celerio,Maruti,2014,89107,Petrol,Manual,6709,202000.0
Hyundai Eon,Hyundai,2014,40989,Petrol,Manual,5580,168000.0
Skoda Rapid,Skoda,2013,112880,Diesel,Manual,14394,162000.0
Maruti Swift Dzire,Maruti,2013,217188,Diesel,Manual,27010,304000.0
Renault Kwid,Renault,2017,71718,Petrol,Manual,2717,139000.0
Maruti Alto 800,Maruti,2018,50031,Petrol,Manual,3495,198000.0
Hyundai i20,Hyundai,2012,187648,Diesel,Manual,3495,156000.0
Hyundai Eon,Hyundai,2012,100930,Petrol,Manual,6575,74000.0
Maruti Swift,Maruti,2014,109066,Diesel,Manual,11384,242000.0
Maruti Ciaz,Maruti,2018,80767,Diesel,Manual,6843,350000.0
Volkswagen Vento,Volkswagen,2018,111005,Petrol,Auto,7786,350000.0
Tata TIGOR,Tata,2019,47615,Petrol,Manual,5896,334000.0
Maruti Wagon R 1.0,Maruti,2015,94452,Petrol,Manual,3950,150000.0
Hyundai i10,Hyundai,2012,106393,Petrol,Auto,16082,181000.0
Honda City,Honda,2014,101983,Petrol,Manual,7374,222000.00000000003
Renault Kwid,Renault,2015,120871,Petrol,Manual,3871,147000.0
Honda Amaze,Honda,2013,96955,Petrol,Manual,10592,225000.0
Maruti Eeco,Maruti,2020,67533,Petrol,Manual,6108,346000.0
Hyundai Elite i20,Hyundai,2014,85115,Petrol,Manual,10629,320000.0
Volkswagen Vento,Volkswagen,2013,172856,Diesel,Manual,16437,185000.0
Volkswagen Vento,Volkswagen,2013,180516,Diesel,Manual,15460,174000.0
Maruti Dzire,Maruti,2022,44267,Petrol,Manual,10133,574000.0
Maruti Swift Dzire,Maruti,2014,122854,Petrol,Manual,8304,250000.0
Hyundai Eon,Hyundai,2016,77237,Petrol,Manual,2825,127000.0
Renault Kwid,Renault,2018,26775,Petrol,Manual,3425,194000.0
Maruti Eeco,Maruti,2015,97876,Petrol,Manual,5425,206000.0
Mahindra Kuv100,Mahindra,2017,87283,Diesel,Manual,4093,184000.0
Maruti Celerio,Maruti,2014,112897,Petrol,Manual,6909,208000.0
Hyundai i20,Hyundai,2014,62,Diesel,Manual,9179,195000.0
