car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Honda Amaze,Honda,2018,39340,Petrol,Auto,8209,465000.00000000006
Ford New Figo,Ford,2018,95994,Petrol,Manual,5172,293000.0
Skoda SLAVIA,Skoda,2023,21654,Petrol,Manual,15629,913000.0000000001
Maruti Wagon R 1.0,Maruti,2017,101975,CNG,Manual,6109,231999.99999999997
Maruti Ertiga,Maruti,2013,70963,CNG,Manual,6109,387000.0
Maruti Dzire,Maruti,2020,27687,Petrol,Manual,8046,455999.99999999994
Renault Kiger,Renault,2021,57005,Petrol,Manual,7626,432000.0
Toyota Innova,Toyota,2014,170000,Diesel,Manual,24666,524000.0
Tata Tiago,Tata,2019,45133,Petrol,Auto,5746,325000.0
Hyundai Elite i20,Hyundai,2017,77187,Petrol,Manual,7761,397000.0
Tata Tiago,Tata,2018,36810,Petrol,Auto,8284,469000.00000000006
Maruti Ertiga,Maruti,2014,67755,CNG,Manual,42619,480000.0
Hyundai Grand i10,Hyundai,2014,61634,Petrol,Manual,7274,219000.0
Renault Kwid,Renault,2017,128262,CNG,Manual,5398,204999.99999999997
Hyundai Eon,Hyundai,2014,24099,Petrol,Manual,4550,137000.0
Maruti Swift Dzire,Maruti,2014,56891,Petrol,Manual,8243,248000.0
Maruti Alto 800,Maruti,2018,23787,Petrol,Manual,3478,197000.0
MG HECTOR,MG,2021,55288,Petrol,Auto,16112,941000.0
Hyundai NEW SANTRO,Hyundai,2019,17463,Petrol,Manual,5795,328000.0
Hyundai i20,Hyundai,2012,44329,Petrol,Manual,15993,180000.0
Tata Tiago,Tata,2020,32882,Petrol,Manual,6491,368000.0
Maruti Dzire,Maruti,2018,60333,Petrol,Auto,7855,445000.0
Volkswagen Ameo,Volkswagen,2017,148441,Diesel,Auto,6184,278000.0
Maruti Swift Dzire,Maruti,2015,44921,Petrol,Manual,8291,315000.0
MG HECTOR,MG,2020,77127,Diesel,Manual,19252,1124000.0
Maruti Vitara Brezza,Maruti,2020,12270,Petrol,Manual,12269,695000.0
Honda City,Honda,2022,86355,Diesel,Manual,14157,827000.0
Honda Civic,Honda,2019,53982,Petrol,Auto,17722,1035000.0
Ford New Figo,Ford,2018,51350,Diesel,Manual,6532,334000.0
Maruti Celerio,Maruti,2020,42127,Petrol,Auto,5896,334000.0
Maruti Alto K10,Maruti,2024,3264,Petrol,Manual,5573,316000.0
