car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Hyundai Grand i10,Hyundai,2015,50859,Petrol,Manual,8348,317000.0
Maruti Ertiga,Maruti,2015,150671,Diesel,Manual,19264,580000.0
Mahindra XUV500,Mahindra,2015,335111,Diesel,Manual,16541,498000.00000000006
Maruti Dzire,Maruti,2020,94983,Petrol,Auto,10397,589000.0
Toyota Glanza,Toyota,2022,80000,Petrol,Manual,10945,620000.0
Hyundai i20,Hyundai,2011,131370,Diesel,Manual,10945,208000.0
Hyundai NEW I20,Hyundai,2022,14024,Petrol,Manual,12304,697000.0
Honda WR-V,Honda,2017,50021,Petrol,Manual,11026,564000.0
Tata TIGOR,Tata,2023,10702,Petrol,Manual,11969,678000.0
Maruti Swift,Maruti,2012,75072,Petrol,Manual,22034,248000.0
Volkswagen Jetta,Volkswagen,2012,106285,Diesel,Manual,22034,293000.0
Skoda Rapid,Skoda,2015,94872,Diesel,Manual,10695,322000.0
Hyundai Creta,Hyundai,2015,89955,Petrol,Manual,11982,455000.0
Maruti Wagon R 1.0,Maruti,2014,94441,Petrol,Manual,8038,242000.0
Mahindra MARAZZO,Mahindra,2019,201027,Diesel,Manual,14459,650000.0
Mahindra XUV500,Mahindra,2012,123510,Diesel,Manual,14459,317000.0
Hyundai Elite i20,Hyundai,2020,90573,Petrol,Manual,9868,559000.0
Mahindra XUV 3XO,Mahindra,2025,22573,Diesel,Manual,18287,1068000.0
Honda WR-V,Honda,2017,69253,Petrol,Manual,10772,551000.0
Renault Kiger,Renault,2023,40955,Petrol,Auto,12163,689000.0
Tata Tiago,Tata,2021,13500,Petrol,Manual,10539,597000.0
Volkswagen Vento,Volkswagen,2014,208290,Diesel,Manual,18453,392000.0
Skoda Superb,Skoda,2011,91150,Diesel,Auto,18453,265000.0
Tata TIGOR,Tata,2018,91280,Petrol,Manual,7202,408000.0
Honda Amaze,Honda,2016,123070,Diesel,Manual,8032,305000.0
Mahindra XUV700,Mahindra,2021,50632,Petrol,Auto,23115,1350000.0
Toyota URBAN CRUISER,Toyota,2022,52048,Petrol,Manual,13240,750000.0
Toyota Innova Crysta,Toyota,2018,217887,Diesel,Manual,33766,1553000.0
Mahindra KUV 100 NXT,Mahindra,2018,93715,Diesel,Manual,7058,361000.0
Maruti Baleno,Maruti,2020,126745,Petrol,Manual,9432,424000.0
Hyundai VENUE,Hyundai,2019,115611,Diesel,Manual,16928,761000.0
Maruti Swift,Maruti,2011,96745,Diesel,Manual,16928,221000.0
Mahindra XUV500,Mahindra,2013,243028,Diesel,Manual,30031,338000.0
CITROEN C3,CITROEN,2022,25495,Petrol,Manual,8826,500000.0
Maruti S Cross,Maruti,2016,85321,Diesel,Manual,14326,544000.0
Tata NEXON,Tata,2023,55570,Diesel,Manual,20855,1218000.0
Mahindra XUV700,Mahindra,2023,34911,Petrol,Auto,35358,2064999.9999999998
Mahindra XUV500,Mahindra,2016,96105,Diesel,Manual,18855,716000.0
Mahindra XUV500,Mahindra,2016,232407,Diesel,Manual,15827,601000.0
KIA SONET,KIA,2023,10630,Diesel,Manual,26814,1566000.0
Tata NEXON,Tata,2022,190015,Diesel,Manual,23591,1085000.0
Maruti Ertiga,Maruti,2012,100265,Diesel,Manual,23591,409999.99999999994
Toyota Fortuner,Toyota,2023,93589,Diesel,Auto,71914,4200000.0
Hyundai Elite i20,Hyundai,2016,118922,Diesel,Manual,11692,444000.00000000006
KIA SELTOS,KIA,2023,62610,Diesel,Auto,29194,1705000.0
Tata NEXON,Tata,2024,51999,Diesel,Manual,19691,1150000.0
Tata Tiago,Tata,2024,46321,Petrol,Manual,8826,500000.0
Skoda KUSHAQ,Skoda,2023,62950,Petrol,Manual,17979,1050000.0
Skoda Rapid,Skoda,2017,106459,Diesel,Auto,11856,533000.0
Hyundai Creta,Hyundai,2022,43168,Diesel,Manual,17996,1051000.0
Ford Endeavour,Ford,2017,118227,Diesel,Auto,48312,2222000.0
Chevrolet Cruze,Chevrolet,2015,86274,Diesel,Auto,15744,474000.0
Maruti Vitara Brezza,Maruti,2018,7774,Diesel,Manual,14917,763000.0
Maruti Dzire,Maruti,2022,82984,Petrol,Manual,12357,700000.0
Hyundai Elite i20,Hyundai,2014,114397,Petrol,Manual,11326,341000.0
Jeep Compass,Jeep,2019,191746,Diesel,Manual,25004,1150000.0
Mahindra XUV500,Mahindra,2013,161209,Diesel,Manual,26477,298000.0
Ford Endeavour,Ford,2017,245181,Diesel,Auto,31244,1437000.0
Hyundai Creta,Hyundai,2016,111631,Diesel,Manual,16590,630000.0
Hyundai VENUE,Hyundai,2021,114503,Diesel,Manual,17394,800000.0
Mahindra Thar,Mahindra,2023,50012,Diesel,Manual,25684,1500000.0
Audi A4,Audi,2013,96700,Diesel,Auto,59706,672000.0
Audi Q3,Audi,2016,54771,Diesel,Auto,36158,1399000.0
Ford Ecosport,Ford,2015,108806,Diesel,Manual,14282,430000.0
Skoda Octavia,Skoda,2015,158887,Diesel,Auto,21623,651000.0
Mitsubishi Pajero Sport,Mitsubishi,2014,340989,Diesel,Manual,29562,628000.0
MG HECTOR,MG,2020,168469,Diesel,Manual,28917,1330000.0
Audi Q7,Audi,2014,66849,Diesel,Auto,72242,1550000.0
KIA SONET,KIA,2021,160852,Diesel,Manual,17937,825000.0
Tata Hexa,Tata,2017,272583,Diesel,Auto,15571,700000.0
Mahindra SCORPIO-N,Mahindra,2023,31051,Diesel,Auto,40238,2350000.0
KIA SELTOS,KIA,2022,37131,Diesel,Auto,22088,1290000.0
Tata NEXON EV,Tata,2021,53241,Electric,Auto,19982,1167000.0
Toyota Fortuner,Toyota,2013,148394,Diesel,Auto,96071,1087000.0
Toyota Innova Crysta,Toyota,2022,36120,Petrol,Auto,30820,1800000.0
Skoda Kodiaq,Skoda,2017,108127,Diesel,Auto,35745,1644000.0000000002
KIA SELTOS,KIA,2020,92197,Diesel,Auto,23475,1371000.0
Hyundai i20,Hyundai,2011,87638,Petrol,Manual,49638,170000.0
Hyundai Creta,Hyundai,2020,34304,Petrol,Auto,18561,1084000.0
Hyundai Xcent,Hyundai,2014,58001,Petrol,Manual,10994,331000.0
Maruti Ciaz,Maruti,2018,151730,Diesel,Manual,11856,533000.0
Volkswagen Vento,Volkswagen,2012,81059,Diesel,Manual,11856,193000.0
