car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price
Hyundai GRAND I10 NIOS,Hyundai,2023,9123,Petrol,Auto,9498,538000.0
Maruti Baleno,Maruti,2019,73830,Petrol,Manual,7576,429000.0
Maruti Celerio,Maruti,2021,22976,Petrol,Manual,6708,380000.0
Maruti Swift,Maruti,2019,20580,Petrol,Manual,7066,400000.0
KIA CARENS,KIA,2023,12078,Petrol,Auto,25400,1483000.0
Hyundai Creta,Hyundai,2018,98265,Petrol,Manual,9801,555000.0
MG HECTOR PLUS,MG,2020,91408,Petrol,Manual,16609,969999.9999999999
Honda Amaze,Honda,2018,33222,Petrol,Manual,6796,385000.0
Mahindra TUV300,Mahindra,2016,81481,Diesel,Manual,10138,385000.0
Hyundai GRAND I10 NIOS,Hyundai,2022,56783,Petrol,Manual,8406,476000.0
Hyundai i10,Hyundai,2013,48585,Petrol,Manual,7782,165000.0
MG HECTOR PLUS,MG,2020,52035,Petrol,Manual,18232,1065000.0
KIA SONET,KIA,2021,34904,Petrol,Manual,8826,500000.0
Maruti IGNIS,Maruti,2018,29145,Petrol,Manual,6015,341000.0
Maruti Baleno,Maruti,2017,66316,Petrol,Manual,7527,385000.0
Hyundai Verna,Hyundai,2015,23905,Petrol,Manual,7368,280000.0
Tata NEXON,Tata,2024,7773,Petrol,Auto,22900,1337000.0
Honda City,Honda,2023,50961,Petrol,Auto,16609,969999.9999999999
Hyundai NEW I20,Hyundai,2023,23073,Petrol,Manual,11742,665000.0
Hyundai Eon,Hyundai,2016,23594,Petrol,Manual,4338,195000.0
Maruti Vitara Brezza,Maruti,2020,75835,Petrol,Auto,10768,610000.0
KIA SELTOS,KIA,2022,20815,Petrol,Manual,14897,869999.9999999999
Honda City,Honda,2022,43284,Petrol,Auto,15650,914000.0
Hyundai GRAND I10 NIOS,Hyundai,2023,29661,Petrol,Manual,7859,445000.0
Hyundai VENUE,Hyundai,2022,52748,Diesel,Manual,11474,650000.0
Maruti Ertiga,Maruti,2021,79857,Petrol,Manual,11850,671000.0
Maruti Ciaz,Maruti,2021,78666,Petrol,Manual,9003,509999.99999999994
Renault Kwid,Renault,2018,47085,Petrol,Manual,2754,156000.0
Honda Jazz,Honda,2018,84718,Diesel,Manual,7630,390000.0
Volkswagen Ameo,Volkswagen,2017,68886,Petrol,Manual,5572,285000.0
Maruti Swift,Maruti,2022,43123,Petrol,Manual,8911,505000.0
Hyundai NEW SANTRO,Hyundai,2021,12033,Petrol,Manual,6532,370000.0
Honda WR-V,Honda,2018,39230,Petrol,Manual,5705,323000.0
Renault Kwid,Renault,2022,16332,Petrol,Manual,6090,345000.0
Maruti Swift,Maruti,2018,45094,Petrol,Manual,5909,335000.0
Hyundai AURA,Hyundai,2020,47742,Petrol,Manual,6747,382000.0
Honda Amaze,Honda,2022,20831,Petrol,Manual,8120,459999.99999999994
Hyundai i20 Active,Hyundai,2018,43067,Petrol,Manual,9405,533000.0
Hyundai VENUE,Hyundai,2024,8305,Petrol,Manual,13752,779000.0
Hyundai Grand i10,Hyundai,2017,54380,Petrol,Manual,5239,268000.0
Mahindra MARAZZO,Mahindra,2019,87991,Diesel,Manual,6983,396000.0
Maruti Swift,Maruti,2017,74732,Petrol,Manual,5772,295000.0
Maruti Wagon R 1.0,Maruti,2014,68771,Petrol,Manual,6809,204999.99999999997
Hyundai NEW I20,Hyundai,2023,35729,Petrol,Auto,12533,710000.0
Maruti Alto K10,Maruti,2023,50709,Petrol,Manual,5561,315000.0
Maruti Swift,Maruti,2013,74540,Petrol,Manual,8709,185000.0
Honda Brio,Honda,2013,67018,Petrol,Manual,7183,153000.0
Honda WR-V,Honda,2017,55352,Petrol,Manual,7215,369000.0
Maruti Alto 800,Maruti,2013,40587,Petrol,Manual,7061,150000.0
MG ASTOR,MG,2022,17466,Petrol,Auto,19348,1130000.0
Mahindra XUV300,Mahindra,2023,22230,Petrol,Manual,12710,720000.0
Hyundai Verna,Hyundai,2022,73143,Diesel,Auto,13469,763000.0
Hyundai Verna,Hyundai,2012,38133,Petrol,Manual,20435,229999.99999999997
Hyundai Verna,Hyundai,2014,60889,Petrol,Manual,7905,238000.0
Skoda Superb,Skoda,2019,23235,Petrol,Auto,18835,1100000.0
Maruti Dzire,Maruti,2018,52210,Petrol,Manual,6002,340000.0
Tata NEXON,Tata,2023,19428,Petrol,Auto,15406,900000.0
Maruti S PRESSO,Maruti,2024,4041,Petrol,Manual,7149,405000.0
Mahindra BOLERO NEO,Mahindra,2022,114913,Diesel,Manual,14236,640000.0
Honda WR-V,Honda,2018,31559,Petrol,Manual,8004,453000.0
Hyundai VENUE,Hyundai,2020,54006,Petrol,Manual,8056,455999.99999999994
Tata Tiago,Tata,2022,82299,Petrol,Manual,6371,361000.0
Hyundai i10,Hyundai,2013,21011,Petrol,Manual,8285,176000.0
Tata NEXON,Tata,2019,31721,Petrol,Manual,7591,430000.0
Maruti IGNIS,Maruti,2020,79536,Petrol,Auto,6708,380000.0
Hyundai Verna,Hyundai,2019,77010,Petrol,Auto,10768,610000.0
Honda WR-V,Honda,2019,14364,Petrol,Manual,8826,500000.0
Maruti Celerio,Maruti,2017,51831,Petrol,Manual,4799,245000.00000000003
Hyundai NEW SANTRO,Hyundai,2020,13277,Petrol,Manual,5288,300000.0
Hyundai Eon,Hyundai,2016,28280,Petrol,Manual,3868,174000.0
Maruti Alto,Maruti,2021,52097,Petrol,Manual,4325,245000.00000000003
Renault TRIBER,Renault,2021,10808,Petrol,Manual,6885,390000.0
Honda City,Honda,2018,51392,Petrol,Manual,8562,484999.99999999994
Toyota Glanza,Toyota,2019,45930,Petrol,Manual,7502,425000.0
Maruti Alto 800,Maruti,2018,24767,Petrol,Manual,3531,200000.0
Skoda Superb,Skoda,2016,28278,Petrol,Auto,16238,730000.0
Hyundai Elite i20,Hyundai,2018,39913,Petrol,Manual,6355,360000.0
Tata NEXON,Tata,2022,60326,Petrol,Manual,9179,520000.0
Mahindra XUV500,Mahindra,2020,43592,Diesel,Manual,13769,780000.0
Toyota Glanza,Toyota,2023,4041,Petrol,Manual,9356,530000.0
Tata TIGOR,Tata,2022,33245,CNG,Manual,8915,505000.0
Tata NEXON,Tata,2022,87846,Petrol,Manual,10592,600000.0
Mahindra Thar,Mahindra,2021,51580,Petrol,Auto,14440,843000.0
Maruti Celerio,Maruti,2025,197,Petrol,Manual,7948,450000.0
Hyundai New Elantra,Hyundai,2019,54199,Petrol,Auto,12533,710000.0
Hyundai NEW SANTRO,Hyundai,2020,120427,Petrol,Manual,6224,280000.0
Skoda Octavia,Skoda,2019,41724,Petrol,Auto,20625,1205000.0
Maruti Wagon R 1.0,Maruti,2014,45506,Petrol,Manual,7141,215000.0
Hyundai Grand i10,Hyundai,2014,100120,Petrol,Manual,5813,175000.0
Hyundai Grand i10,Hyundai,2014,105349,Petrol,Manual,7115,214000.0
Maruti Ritz,Maruti,2012,53465,Petrol,Manual,12462,140000.0
Maruti Baleno,Maruti,2023,19866,Petrol,Manual,11739,665000.0
Maruti Swift,Maruti,2016,95146,Petrol,Manual,5123,229999.99999999997
Ford FREESTYLE,Ford,2021,113880,Petrol,Manual,9788,440000.00000000006
Honda City,Honda,2016,111496,Petrol,Manual,7674,345000.0
Maruti Swift Dzire,Maruti,2016,88858,Petrol,Auto,6340,285000.0
Tata PUNCH,Tata,2022,55147,Petrol,Auto,10772,610000.0
Maruti Wagon R 1.0,Maruti,2017,58924,Petrol,Manual,5114,262000.0
Maruti Ertiga,Maruti,2020,74793,Petrol,Manual,12004,680000.0
Maruti New Wagon-R,Maruti,2021,11098,Petrol,Auto,7238,409999.99999999994
Maruti Eeco,Maruti,2023,1621,Petrol,Manual,7944,450000.0
Maruti Swift,Maruti,2016,67639,Petrol,Manual,5784,260000.0
Datsun Redi Go,Datsun,2021,10455,Petrol,Manual,4325,245000.00000000003
Tata TIAGO NRG,Tata,2019,54032,Petrol,Manual,5031,285000.0
Hyundai Grand i10,Hyundai,2014,87701,Petrol,Manual,7109,214000.0
Maruti New Wagon-R,Maruti,2021,18008,Petrol,Manual,6708,380000.0
Tata ALTROZ,Tata,2024,9185,Petrol,Manual,10416,590000.0
Maruti Swift,Maruti,2014,19872,Petrol,Manual,7141,215000.0
Tata ALTROZ,Tata,2023,21889,Petrol,Manual,8826,500000.0
Maruti Swift,Maruti,2023,24785,Petrol,Manual,8385,475000.0
Maruti Wagon R 1.0,Maruti,2013,18175,Petrol,Manual,9179,195000.0
Maruti Baleno,Maruti,2016,47594,Petrol,Manual,6896,310000.0
Hyundai Grand i10,Hyundai,2019,105601,Petrol,Manual,7786,350000.0
Maruti Swift,Maruti,2015,48444,Petrol,Manual,6636,252000.0
Hyundai Grand i10,Hyundai,2018,45296,Petrol,Manual,5633,319000.0
Maruti Dzire,Maruti,2020,91004,Petrol,Auto,7238,409999.99999999994
Honda City,Honda,2018,84269,Diesel,Manual,10068,515000.00000000006
KIA SONET,KIA,2021,24583,Petrol,Manual,10507,595000.0
Hyundai Elite i20,Hyundai,2017,22932,Petrol,Manual,7522,385000.0
Honda Jazz,Honda,2016,38572,Petrol,Manual,5672,254999.99999999997
Hyundai Grand i10,Hyundai,2017,77839,Petrol,Auto,6549,335000.0
Hyundai GRAND I10 NIOS,Hyundai,2022,39827,Petrol,Manual,7763,440000.00000000006
Mahindra XUV300,Mahindra,2021,39740,Petrol,Manual,11559,655000.0
Maruti Celerio,Maruti,2018,76332,Petrol,Manual,4501,254999.99999999997
Tata ALTROZ,Tata,2022,38959,Petrol,Manual,10062,570000.0
Tata NEXON,Tata,2022,66589,Petrol,Manual,8821,500000.0
Maruti Swift,Maruti,2022,15803,Petrol,Manual,8473,480000.0
Tata NEXON,Tata,2018,96812,Petrol,Manual,7934,449000.0
Tata TIAGO NRG,Tata,2022,28771,Petrol,Manual,7061,400000.0
Hyundai NEW SANTRO,Hyundai,2019,16359,Petrol,Auto,6296,357000.0
Maruti S PRESSO,Maruti,2019,42450,Petrol,Auto,5472,310000.0
Maruti Celerio,Maruti,2015,34911,Petrol,Manual,6057,229999.99999999997
Nissan MAGNITE,Nissan,2021,102983,Petrol,Auto,12457,560000.0
Maruti Baleno,Maruti,2019,62634,Petrol,Manual,7855,445000.0
Maruti Swift Dzire,Maruti,2016,108263,Petrol,Manual,5784,260000.0
Ford Ecosport,Ford,2016,60970,Petrol,Manual,7129,320000.0
Nissan Micra Active,Nissan,2018,63439,Petrol,Manual,4325,245000.00000000003
Hyundai i10,Hyundai,2013,31075,Petrol,Manual,8680,184000.0
Skoda KUSHAQ,Skoda,2022,50926,Petrol,Auto,17294,1010000.0
Tata Tiago,Tata,2021,35941,Petrol,Manual,7591,430000.0
Maruti Baleno,Maruti,2021,91729,Petrol,Manual,7764,440000.00000000006
Maruti Vitara Brezza,Maruti,2021,62466,Petrol,Manual,11739,665000.0
Mahindra BOLERO NEO,Mahindra,2022,60038,Diesel,Manual,12763,723000.0
Tata ALTROZ,Tata,2022,24279,Petrol,Auto,10672,605000.0
Renault TRIBER,Renault,2022,18634,Petrol,Manual,9179,520000.0
Skoda Octavia,Skoda,2018,51352,Petrol,Auto,18321,1070000.0
Renault Kwid,Renault,2022,25914,Petrol,Manual,6267,355000.0
Mahindra XUV300,Mahindra,2022,91756,Diesel,Auto,14383,840000.0
Honda Amaze,Honda,2022,14306,Petrol,Auto,11121,630000.0
Maruti Vitara Brezza,Maruti,2018,54822,Diesel,Manual,9971,509999.99999999994
KIA SELTOS,KIA,2020,52905,Petrol,Manual,14035,819999.9999999999
KIA SELTOS,KIA,2019,54013,Petrol,Auto,13332,755000.0
Maruti Alto 800,Maruti,2017,28392,Petrol,Manual,4106,210000.0
Tata ALTROZ,Tata,2024,12097,Petrol,Auto,14468,844999.9999999999
Maruti Vitara Brezza,Maruti,2019,57090,Diesel,Auto,9882,560000.0
Maruti Swift Dzire,Maruti,2017,57076,Diesel,Auto,8342,375000.0
Honda WR-V,Honda,2018,36420,Petrol,Manual,7679,434999.99999999994
Mahindra XUV300,Mahindra,2021,5206,Petrol,Manual,13647,773000.0
Honda Amaze,Honda,2018,100226,Diesel,Manual,10010,450000.0
Hyundai Elite i20,Hyundai,2016,35991,Petrol,Manual,7457,335000.0
Maruti Grand Vitara,Maruti,2022,58453,Petrol,Auto,20547,1200000.0
Hyundai Grand i10,Hyundai,2016,67042,Petrol,Manual,5895,265000.0
Hyundai Eon,Hyundai,2017,16511,Petrol,Manual,4399,225000.0
Maruti Grand Vitara,Maruti,2022,62308,Petrol,Manual,16612,969999.9999999999
KIA SELTOS,KIA,2019,38260,Petrol,Auto,13808,806000.0
Honda Jazz,Honda,2016,94307,Petrol,Auto,7101,319000.0
Hyundai NEW SANTRO,Hyundai,2020,113846,Petrol,Manual,6230,280000.0
KIA SELTOS,KIA,2021,30275,Petrol,Manual,12655,717000.0
KIA SELTOS,KIA,2022,32615,Petrol,Manual,15697,917000.0
Tata NEXON,Tata,2018,55388,Petrol,Auto,8478,480000.0
KIA CARENS,KIA,2024,10901,Diesel,Manual,20102,1174000.0
Hyundai i10,Hyundai,2012,70127,Petrol,Manual,12972,146000.0
Mahindra XUV500,Mahindra,2015,137469,Diesel,Manual,16043,483000.0
Hyundai Xcent,Hyundai,2017,45706,Diesel,Manual,6251,281000.0
Hyundai Grand i10,Hyundai,2015,29080,Petrol,Manual,7373,280000.0
Maruti Celerio,Maruti,2016,119491,Petrol,Manual,5583,250999.99999999997
Audi A4,Audi,2014,33974,Diesel,Auto,19818,421000.0
Honda Jazz,Honda,2016,57556,Diesel,Manual,6057,229999.99999999997
Maruti Ciaz,Maruti,2016,40822,Petrol,Manual,5005,225000.0
Honda City,Honda,2019,41362,Petrol,Manual,9921,562000.0
Mahindra XUV500,Mahindra,2016,88867,Diesel,Manual,9823,373000.0
Hyundai Elite i20,Hyundai,2016,60207,Petrol,Manual,7652,344000.0
Hyundai i10,Hyundai,2015,188636,Petrol,Manual,5154,196000.0
Hyundai GRAND I10 NIOS,Hyundai,2022,10970,Petrol,Manual,8209,465000.00000000006
Hyundai VENUE,Hyundai,2022,28405,Petrol,Manual,8597,487000.0
Hyundai Grand i10,Hyundai,2017,12717,Petrol,Manual,6295,322000.0
Hyundai VENUE,Hyundai,2019,50773,Petrol,Manual,9179,520000.0
Hyundai VENUE,Hyundai,2019,65006,Petrol,Manual,9709,550000.0
Maruti Swift,Maruti,2013,93290,Petrol,Manual,10356,220000.00000000003
Toyota Innova,Toyota,2011,139084,Diesel,Manual,10356,238000.0
