,car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price,city
0,Maruti Alto 800,Maruti,2013,59183,Petrol,Manual,8084,172000.0,Agra
1,Tata TIGOR,Tata,2018,60000,Petrol,Manual,5737,325000.0,Agra
2,Hyundai Creta,Hyundai,2018,77164,Diesel,Manual,12871,658000.0,Agra
3,Mahindra Kuv100,Mahindra,2016,92583,Diesel,Manual,6683,254000.0,Agra
4,Mahindra Kuv100,Mahindra,2018,44360,Petrol,Manual,5649,320000.0,Agra
5,Maruti Vitara Brezza,Maruti,2018,92123,Diesel,Manual,11364,581000.0,Agra
6,Renault Kwid,Renault,2016,51025,Petrol,Manual,1869,84000.0,Agra
7,Maruti Swift Dzire,Maruti,2014,146456,Diesel,Manual,10027,213000.0,Agra
8,Maruti Wagon R 1.0,Maruti,2015,91043,Petrol,Manual,5662,215000.0,Agra
9,Renault TRIBER,Renault,2021,77734,Petrol,Manual,7785,441000.0,Agra
10,Maruti Wagon R 1.0,Maruti,2017,25383,Petrol,Manual,5318,272000.0,Agra
11,Maruti Swift,Maruti,2015,69191,Petrol,Manual,7136,271000.0,Agra
12,Ford Ecosport,Ford,2018,65233,Petrol,Auto,8597,487000.0,Agra
13,Maruti Swift,Maruti,2019,72828,Petrol,Manual,6584,373000.0,Agra
14,Mahindra XUV300,Mahindra,2019,111654,Diesel,Manual,12234,550000.0,Agra
15,Ford Ecosport,Ford,2016,62580,Diesel,Manual,7531,286000.0,Agra
16,Maruti Dzire,Maruti,2020,116330,Petrol,Manual,9031,406000.0,Agra
17,Mahindra TUV300,Mahindra,2018,120160,Diesel,Manual,7207,324000.0,Agra
18,Maruti Vitara Brezza,Maruti,2016,75779,Diesel,Manual,9770,371000.0,Agra
19,Maruti Swift Dzire,Maruti,2013,61591,Petrol,Manual,10356,220000.00000000003,Agra
20,Renault Kwid,Renault,2018,40927,Petrol,Manual,3125,177000.0,Agra
21,Hyundai Verna,Hyundai,2012,155731,Diesel,Manual,3125,183000.0,Agra
22,Hyundai Elite i20,Hyundai,2019,27918,Petrol,Manual,6514,369000.0,Agra
23,Mahindra XUV500,Mahindra,2013,73010,Diesel,Manual,20169,227000.0,Agra
24,MG HECTOR,MG,2019,39851,Petrol,Auto,13823,783000.0,Agra
25,Datsun Go,Datsun,2015,30000,Petrol,Manual,2844,108000.0,Agra
26,Maruti Swift,Maruti,2013,189478,Diesel,Manual,20435,230000.0,Agra
27,Maruti Swift,Maruti,2012,119457,Diesel,Manual,20435,194000.0,Agra
28,Hyundai Verna,Hyundai,2013,139497,Diesel,Manual,19280,217000.0,Agra
29,Maruti Swift,Maruti,2012,51449,Diesel,Manual,19280,196000.0,Agra
30,Maruti Swift Dzire,Maruti,2014,111693,Diesel,Manual,11721,249000.00000000003,Agra
31,Hyundai Verna,Hyundai,2017,195000,Diesel,Manual,11745,528000.0,Agra
32,Maruti Alto 800,Maruti,2018,73600,Petrol,Manual,3566,202000.0,Agra
33,Maruti Swift Dzire,Maruti,2013,62136,Diesel,Manual,20435,230000.0,Agra
34,Maruti Swift Dzire,Maruti,2013,113897,Petrol,Manual,9462,201000.0,Agra
35,Tata Tiago,Tata,2019,82203,Petrol,Manual,3884,220000.00000000003,Agra
36,Hyundai Verna,Hyundai,2012,138968,Diesel,Manual,3884,150000.0,Agra
37,Maruti Swift,Maruti,2013,62498,Diesel,Manual,19014,214000.0,Agra
38,Maruti Swift,Maruti,2012,95641,Diesel,Manual,19014,220000.00000000003,Agra
39,Hyundai Elite i20,Hyundai,2019,17783,Petrol,Manual,7944,450000.0,Agra
40,Maruti Swift Dzire,Maruti,2014,75803,Petrol,Manual,11226,338000.0,Agra
41,Maruti Celerio,Maruti,2016,46191,Diesel,Manual,4687,178000.0,Agra
42,Maruti Wagon R 1.0,Maruti,2015,40019,Petrol,Manual,5925,225000.0,Agra
43,Maruti Swift,Maruti,2013,89036,Petrol,Manual,11298,240000.0,Agra
44,Renault Kwid,Renault,2021,23962,Petrol,Manual,4590,260000.0,Agra
45,Maruti Eeco,Maruti,2023,63134,Petrol,Manual,6161,349000.0,Agra
46,Hyundai GRAND I10 NIOS,Hyundai,2019,50152,Petrol,Manual,6267,355000.0,Agra
47,Maruti Swift Dzire,Maruti,2012,88220,Petrol,Manual,17592,198000.0,Agra
48,Maruti Swift,Maruti,2013,64368,Petrol,Manual,11062,235000.0,Agra
49,Tata TIGOR,Tata,2017,77000,Petrol,Manual,4653,238000.0,Agra
50,Maruti Wagon R 1.0,Maruti,2014,42240,Petrol,Manual,6875,207000.0,Agra
51,Hyundai Eon,Hyundai,2015,32494,Petrol,Manual,4398,167000.0,Agra
52,Honda City,Honda,2012,95345,Petrol,Manual,16437,185000.0,Agra
53,Maruti Ciaz,Maruti,2020,122604,Petrol,Manual,9454,425000.0,Agra
54,Honda City,Honda,2015,84961,Diesel,Manual,8968,270000.0,Agra
55,Maruti Wagon R 1.0,Maruti,2014,68222,Petrol,Manual,6244,188000.0,Agra
56,Maruti Wagon R 1.0,Maruti,2013,72501,Petrol,Manual,7626,162000.0,Agra
57,Maruti Swift,Maruti,2014,105831,Diesel,Manual,11533,245000.00000000003,Agra
58,Chevrolet Beat,Chevrolet,2012,86902,Petrol,Manual,6664,75000.0,Agra
59,Mercedes Benz A Class,Mercedes,2015,90269,Diesel,Auto,14515,437000.0,Agra
60,Hyundai Elite i20,Hyundai,2017,81375,Diesel,Manual,7452,335000.0,Agra
61,Maruti Swift Dzire,Maruti,2012,72056,Petrol,Manual,14660,165000.0,Agra
62,Honda Amaze,Honda,2014,82695,Diesel,Manual,8520,181000.0,Agra
63,Honda Amaze,Honda,2014,148355,Diesel,Manual,7908,168000.0,Agra
64,Maruti Swift Dzire,Maruti,2013,277140,Diesel,Manual,10573,119000.0,Agra
65,Hyundai Grand i10,Hyundai,2014,98941,Petrol,Manual,7008,211000.0,Agra
66,Ford Ecosport,Ford,2019,65454,Petrol,Manual,8348,473000.00000000006,Agra
67,Maruti Swift,Maruti,2013,105754,Petrol,Manual,9980,212000.0,Agra
68,Mahindra Thar,Mahindra,2021,39177,Petrol,Manual,16078,939000.0,Agra
69,Hyundai i10,Hyundai,2013,21752,Petrol,Manual,7249,154000.0,Agra
70,Maruti Celerio,Maruti,2015,38742,Petrol,Manual,5530,210000.0,Agra
71,Hyundai i10,Hyundai,2012,111061,Petrol,Manual,10040,113000.0,Agra
72,Maruti Swift Dzire,Maruti,2013,71212,Petrol,Manual,8140,173000.0,Agra
73,Maruti Alto,Maruti,2021,42757,Petrol,Manual,4413,250000.0,Agra
74,Maruti Dzire,Maruti,2017,108512,Diesel,Manual,8210,369000.0,Agra
75,Maruti Wagon R 1.0,Maruti,2013,41029,Petrol,Manual,7532,160000.0,Agra
76,Mahindra XUV500,Mahindra,2014,111297,Diesel,Manual,11203,238000.0,Agra
77,Maruti Swift,Maruti,2014,92894,Petrol,Manual,7805,235000.0,Agra
78,Hyundai VENUE,Hyundai,2019,57047,Petrol,Manual,8826,500000.0,Agra
79,Maruti Baleno,Maruti,2023,144481,Petrol,Manual,13369,601000.0,Agra
80,Hyundai EXTER,Hyundai,2024,7037,Petrol,Manual,12322,698000.0,Agra
81,Hyundai GRAND I10 NIOS,Hyundai,2022,15421,Petrol,Manual,8597,487000.0,Agra
82,Maruti Wagon R 1.0,Maruti,2012,45156,Petrol,Manual,13238,149000.0,Agra
83,KIA CARENS,KIA,2024,13681,Petrol,Manual,19348,1130000.0,Agra
84,Maruti Ritz,Maruti,2013,38391,Petrol,Manual,6402,136000.0,Agra
85,Honda City,Honda,2014,170742,Diesel,Manual,10921,232000.0,Agra
86,Maruti Swift,Maruti,2016,115962,Diesel,Manual,8190,311000.0,Agra
87,Tata TIGOR,Tata,2018,59901,Petrol,Manual,4678,265000.0,Agra
88,Maruti Wagon R 1.0,Maruti,2014,288683,Petrol,Manual,6676,201000.0,Agra
89,Maruti Swift,Maruti,2014,90991,Diesel,Manual,12145,258000.0,Agra
90,Maruti Swift Dzire,Maruti,2015,84872,Petrol,Manual,6636,252000.0,Agra
91,Maruti Wagon R 1.0,Maruti,2016,102548,Petrol,Manual,4805,216000.0,Agra
92,Maruti Wagon R 1.0,Maruti,2018,28111,Petrol,Manual,4890,277000.0,Agra
93,Maruti New Wagon-R,Maruti,2020,52243,Petrol,Manual,6549,371000.0,Agra
94,Hyundai GRAND I10 NIOS,Hyundai,2020,51791,Petrol,Manual,7061,400000.0,Agra
95,Renault Duster,Renault,2014,106882,Diesel,Manual,8285,176000.0,Agra
96,Maruti Celerio,Maruti,2014,80160,Petrol,Manual,6444,194000.0,Agra
97,Maruti Swift,Maruti,2014,190884,Diesel,Manual,10121,215000.0,Agra
98,Tata NEXON,Tata,2019,33803,Diesel,Manual,9815,556000.0,Agra
99,Hyundai i20,Hyundai,2011,42678,Petrol,Manual,9815,133000.0,Agra
100,Hyundai New Elantra,Hyundai,2013,91480,Diesel,Auto,20258,228000.0,Agra
101,Maruti Swift,Maruti,2017,124852,Diesel,Manual,5116,230000.0,Agra
102,Maruti Swift Dzire,Maruti,2015,37274,Petrol,Manual,8954,340000.0,Agra
103,KIA SELTOS,KIA,2019,114165,Diesel,Manual,17506,787000.0,Agra
104,Maruti Wagon R 1.0,Maruti,2015,41625,Petrol,Manual,6083,231000.0,Agra
105,Mahindra XUV700,Mahindra,2024,20950,Diesel,Manual,28423,1660000.0000000002,Agra
106,Maruti Swift,Maruti,2015,129375,Petrol,Manual,5267,200000.0,Agra
107,Maruti Wagon R 1.0,Maruti,2017,87640,Petrol,Manual,5005,256000.0,Agra
108,Toyota Etios,Toyota,2013,233633,Diesel,Manual,17859,201000.0,Agra
109,Hyundai Grand i10,Hyundai,2017,83125,Diesel,Manual,5072,228000.0,Agra
110,Renault Kwid,Renault,2018,46915,Petrol,Manual,3954,224000.00000000003,Agra
111,Honda Amaze,Honda,2014,90232,Petrol,Manual,9333,281000.0,Agra
112,Maruti Wagon R 1.0,Maruti,2015,33447,Petrol,Manual,6083,231000.0,Agra
113,Maruti Swift Dzire,Maruti,2015,121198,Diesel,Manual,10595,319000.0,Agra
114,Maruti Swift,Maruti,2015,140480,Petrol,Manual,8111,308000.0,Agra
115,Hyundai VENUE,Hyundai,2023,35131,Petrol,Manual,18681,1091000.0,Agra
116,Honda Brio,Honda,2014,83979,Petrol,Manual,6344,191000.0,Agra
117,Renault Pulse,Renault,2014,131341,Diesel,Manual,6590,140000.0,Agra
118,Maruti Celerio,Maruti,2018,2248,Petrol,Manual,4766,270000.0,Agra
119,Maruti Ritz,Maruti,2013,160283,Diesel,Manual,13150,148000.0,Agra
120,Mahindra Scorpio,Mahindra,2011,115920,Diesel,Manual,13150,234000.0,Agra
121,Honda Amaze,Honda,2014,62531,Petrol,Manual,6576,198000.0,Agra
122,Hyundai Grand i10,Hyundai,2014,57608,Petrol,Manual,9499,286000.0,Agra
123,Maruti Baleno,Maruti,2018,110021,Petrol,Manual,9298,418000.0,Agra
124,Maruti Wagon R 1.0,Maruti,2016,102308,Petrol,Manual,5339,240000.0,Agra
125,Renault Kwid,Renault,2018,58144,Petrol,Manual,3871,174000.0,Agra
126,Datsun Go,Datsun,2014,21521,Petrol,Manual,3355,101000.0,Agra
127,Honda Amaze,Honda,2020,51770,Petrol,Manual,7555,428000.0,Agra
128,Mahindra NUVOSPORT,Mahindra,2017,152410,Diesel,Manual,8297,373000.0,Agra
129,Hyundai Santro Xing,Hyundai,2012,69890,Petrol,Manual,8529,96000.0,Agra
130,Maruti Swift,Maruti,2015,114614,Diesel,Manual,9798,295000.0,Agra
131,Maruti Alto 800,Maruti,2013,77746,Petrol,Manual,5215,111000.0,Agra
132,Maruti Wagon R 1.0,Maruti,2013,105962,Petrol,Manual,7296,155000.0,Agra
133,Maruti Alto 800,Maruti,2018,63838,Petrol,Manual,3283,186000.0,Agra
134,Hyundai i10,Hyundai,2011,91911,Petrol,Manual,3283,71000.0,Agra
135,Ford Figo,Ford,2012,82348,Diesel,Manual,3283,83000.0,Agra
136,Maruti Swift Dzire,Maruti,2015,65695,Petrol,Manual,7057,268000.0,Agra
137,Maruti Celerio,Maruti,2015,124050,Petrol,Manual,5319,202000.0,Agra
138,Ford Ecosport,Ford,2017,141391,Diesel,Manual,7140,321000.0,Agra
139,Tata Tiago,Tata,2018,111762,Diesel,Manual,5339,240000.0,Agra
140,Maruti Swift Dzire,Maruti,2015,88830,Petrol,Manual,7479,284000.0,Agra
141,Maruti Dzire,Maruti,2018,82549,Petrol,Manual,7061,400000.0,Agra
142,Mahindra XUV500,Mahindra,2015,185386,Diesel,Manual,12854,387000.0,Agra
143,Maruti Ritz,Maruti,2011,123456,Petrol,Manual,12854,117000.0,Agra
144,Honda Jazz,Honda,2012,36003,Petrol,Manual,14482,163000.0,Agra
145,Honda Amaze,Honda,2016,117507,Diesel,Manual,6952,264000.0,Agra
146,Maruti Eeco,Maruti,2018,77243,Petrol,Manual,6037,342000.0,Agra
147,Maruti Swift,Maruti,2020,36770,Petrol,Manual,7591,430000.0,Agra
148,Hyundai New Elantra,Hyundai,2012,144467,Diesel,Manual,7591,227000.0,Agra
149,Maruti Dzire,Maruti,2018,103640,Diesel,Manual,9231,415000.00000000006,Agra
150,Maruti Baleno,Maruti,2019,126959,Petrol,Manual,10010,450000.0,Agra
151,Toyota Etios Liva,Toyota,2011,116930,Petrol,Manual,10010,162000.0,Agra
152,Mahindra XUV700,Mahindra,2022,31984,Petrol,Manual,19811,1157000.0,Agra
153,Jaguar XF,Jaguar,2015,155950,Diesel,Auto,26191,800000.0,Agra
154,Maruti S Cross,Maruti,2015,105456,Diesel,Manual,9566,288000.0,Agra
155,Volkswagen Vento,Volkswagen,2010,65542,Petrol,Manual,9566,104000.0,Agra
156,Maruti Baleno,Maruti,2017,53082,Petrol,Manual,8915,456000.0,Agra
157,Maruti Swift,Maruti,2020,50819,Petrol,Manual,7432,421000.0,Agra
158,Maruti Wagon R 1.0,Maruti,2015,18663,Petrol,Manual,6346,241000.0,Agra
159,Honda Amaze,Honda,2015,88294,Diesel,Manual,7374,222000.00000000003,Agra
160,Hyundai Verna,Hyundai,2013,103760,Diesel,Manual,27810,313000.0,Agra
161,Maruti Baleno,Maruti,2022,63547,Petrol,Manual,8067,457000.0,Agra
162,Maruti Ertiga,Maruti,2015,37757,Petrol,Manual,10086,383000.0,Agra
163,Honda City,Honda,2014,194057,Diesel,Manual,13416,285000.0,Agra
164,Jeep Compass,Jeep,2017,168684,Petrol,Auto,14459,650000.0,Agra
165,Maruti Eeco,Maruti,2012,202686,Petrol,Manual,4967,56000.00000000001,Agra
166,Maruti Swift Dzire,Maruti,2015,75892,Petrol,Manual,8348,317000.0,Agra
167,Chevrolet Beat,Chevrolet,2013,83045,Diesel,Manual,6664,75000.0,Agra
168,Honda Amaze,Honda,2013,168500,Diesel,Manual,13327,150000.0,Agra
169,Maruti Swift Dzire,Maruti,2011,48835,Petrol,Manual,13327,106000.0,Agra
170,Maruti Wagon R 1.0,Maruti,2012,50826,Petrol,Manual,13949,157000.0,Agra
171,Maruti Swift Dzire,Maruti,2016,60000,Diesel,Manual,6899,262000.0,Agra
172,Honda Brio,Honda,2012,57950,Petrol,Manual,13327,150000.0,Agra
173,Honda Amaze,Honda,2017,72525,Petrol,Manual,5787,296000.0,Agra
174,Ford Ecosport,Ford,2014,117059,Diesel,Manual,8756,186000.0,Agra
175,Mahindra Xylo,Mahindra,2012,91531,Diesel,Manual,8756,87000.0,Agra
176,Maruti Vitara Brezza,Maruti,2019,248440,Diesel,Manual,9610,432000.0,Agra
177,Maruti New Wagon-R,Maruti,2019,65493,Petrol,Manual,6337,359000.0,Agra
178,Tata NEXON,Tata,2019,61904,Petrol,Manual,8703,493000.0,Agra
179,Honda Amaze,Honda,2016,76093,Petrol,Manual,5984,269000.0,Agra
180,Honda Amaze,Honda,2015,102753,Diesel,Manual,6909,208000.0,Agra
181,Maruti Wagon R 1.0,Maruti,2017,72009,Petrol,Manual,5103,261000.0,Agra
182,Hyundai Eon,Hyundai,2013,75376,Petrol,Manual,6167,131000.0,Agra
183,Tata Harrier,Tata,2022,46216,Diesel,Manual,25461,1487000.0,Agra
184,Honda City,Honda,2014,221896,Diesel,Manual,12474,265000.0,Agra
185,Mahindra Bolero,Mahindra,2019,85558,Diesel,Manual,8791,498000.00000000006,Agra
186,Mahindra XUV500,Mahindra,2017,83456,Diesel,Manual,13858,623000.0,Agra
187,Maruti Dzire,Maruti,2019,58242,Petrol,Manual,8509,482000.0,Agra
188,Hyundai i10,Hyundai,2013,85613,Petrol,Manual,6449,137000.0,Agra
189,Volkswagen Ameo,Volkswagen,2016,106042,Diesel,Auto,7215,274000.0,Agra
190,Hyundai Grand i10,Hyundai,2015,55249,Petrol,Manual,6847,260000.0,Agra
191,Maruti Dzire,Maruti,2018,82047,Diesel,Manual,8309,425000.0,Agra
192,Maruti Swift,Maruti,2011,136449,Diesel,Manual,8309,100000.0,Agra
193,Chevrolet Cruze,Chevrolet,2012,125356,Diesel,Auto,8309,165000.0,Agra
194,Tata Safari Storme,Tata,2016,215508,Diesel,Manual,9717,369000.0,Agra
195,Mahindra XUV500,Mahindra,2019,152283,Diesel,Manual,14481,651000.0,Agra
196,Hyundai Grand i10,Hyundai,2017,107230,Petrol,Manual,5784,260000.0,Agra
197,Ford Classic,Ford,2012,207867,Diesel,Manual,5784,93000.0,Agra
198,Hyundai i10,Hyundai,2011,87818,Petrol,Manual,5784,101000.0,Agra
199,Maruti Dzire,Maruti,2019,76870,Petrol,Manual,7321,415000.00000000006,Agra
200,Toyota Fortuner,Toyota,2019,273110,Diesel,Auto,46594,2143000.0,Agra
201,Maruti Wagon R 1.0,Maruti,2015,20085,Petrol,Manual,6267,238000.0,Agra
202,Maruti S Cross,Maruti,2017,60615,Diesel,Manual,9298,418000.0,Agra
203,Maruti Ertiga,Maruti,2013,63111,Diesel,Manual,39271,442000.0,Agra
204,Maruti Celerio,Maruti,2018,41833,Petrol,Manual,5225,296000.0,Agra
205,Maruti Wagon R 1.0,Maruti,2013,46000,Petrol,Manual,9132,194000.0,Agra
206,Hyundai Eon,Hyundai,2011,64769,Petrol,Manual,9132,106000.0,Agra
207,Maruti Swift,Maruti,2021,36911,Petrol,Manual,8738,495000.0,Agra
208,Renault Duster,Renault,2014,114624,Diesel,Manual,9791,208000.0,Agra
209,Honda City,Honda,2013,119411,Petrol,Manual,10639,226000.0,Agra
210,Honda City,Honda,2018,153000,Petrol,Manual,10789,485000.0,Agra
211,Maruti BREZZA,Maruti,2023,54000,Petrol,Manual,12992,736000.0,Agra
212,Maruti Dzire,Maruti,2017,96409,Diesel,Manual,10032,451000.0,Agra
213,Hyundai Verna,Hyundai,2014,168894,Diesel,Auto,15440,328000.0,Agra
214,Maruti Wagon R 1.0,Maruti,2011,72453,Petrol,Manual,15440,100000.0,Agra
215,Maruti Baleno,Maruti,2018,120084,Diesel,Manual,8898,400000.0,Agra
216,Renault Duster,Renault,2015,101599,Diesel,Manual,7839,236000.0,Agra
217,Hyundai Creta,Hyundai,2017,209123,Diesel,Manual,13013,585000.0,Agra
218,Mahindra XUV500,Mahindra,2016,54188,Diesel,Manual,12008,456000.0,Agra
219,Landrover Freelander 2,Landrover,2013,139022,Diesel,Auto,41759,470000.0,Agra
220,Toyota Etios Liva,Toyota,2012,110472,Diesel,Manual,41759,160000.0,Agra
221,Hyundai i10,Hyundai,2011,31485,Petrol,Manual,41759,110000.0,Agra
222,Hyundai Creta,Hyundai,2018,100765,Petrol,Manual,14592,656000.0,Agra
223,Skoda Fabia,Skoda,2012,132489,Diesel,Manual,14592,68000.0,Agra
224,Hyundai Grand i10,Hyundai,2014,16196,Petrol,Manual,9068,273000.0,Agra
225,Maruti Swift Dzire,Maruti,2016,155868,Diesel,Manual,8875,337000.0,Agra
226,Ford Figo,Ford,2013,111890,Diesel,Manual,7730,87000.0,Agra
227,Tata NEXON,Tata,2020,58807,Petrol,Manual,12463,706000.0,Agra
228,Renault Duster,Renault,2015,45985,Diesel,Manual,10330,311000.0,Agra
229,Hyundai VENUE,Hyundai,2022,44589,Petrol,Manual,11527,653000.0,Agra
230,Maruti Grand Vitara,Maruti,2024,26590,Hybrid,Auto,25170,1470000.0,Agra
231,Skoda KUSHAQ,Skoda,2022,63820,Petrol,Manual,13963,791000.0,Agra
232,Hyundai Verna,Hyundai,2019,59834,Diesel,Manual,10150,575000.0,Agra
233,Mahindra XUV300,Mahindra,2022,74870,Diesel,Manual,11421,647000.0,Agra
234,Hyundai GRAND I10 NIOS,Hyundai,2022,102349,Petrol,Manual,8787,395000.0,Agra
235,KIA SELTOS,KIA,2025,5744,Petrol,Manual,18835,1100000.0,Agra
236,Nissan Micra,Nissan,2012,133949,Diesel,Manual,18835,107000.0,Agra
237,Maruti Swift,Maruti,2020,102514,Petrol,Manual,9676,435000.0,Agra
238,Renault TRIBER,Renault,2023,53091,Petrol,Manual,9038,512000.0,Agra
239,Maruti Wagon R 1.0,Maruti,2012,69977,Petrol,Manual,11461,129000.0,Agra
240,Mercedes Benz C Class,Mercedes,2012,118395,Diesel,Auto,11461,257000.0,Agra
241,Maruti Swift Dzire,Maruti,2016,34953,Petrol,Manual,6896,310000.0,Agra
242,Hyundai i10,Hyundai,2011,59749,Petrol,Manual,6896,107000.0,Agra
243,Honda Amaze,Honda,2018,77520,Diesel,Manual,8055,412000.0,Agra
244,Maruti Baleno,Maruti,2017,168168,Petrol,Manual,7630,343000.0,Agra
245,Hyundai Elite i20,Hyundai,2017,59420,Petrol,Manual,7820,400000.0,Agra
246,Maruti Swift,Maruti,2011,75236,Petrol,Manual,7820,142000.0,Agra
247,Hyundai Verna,Hyundai,2016,49247,Diesel,Manual,10534,400000.0,Agra
248,Maruti Alto K10,Maruti,2022,27105,Petrol,Manual,5755,326000.0,Agra
249,Mahindra Scorpio,Mahindra,2017,133298,Diesel,Manual,16906,760000.0,Agra
250,Hyundai Creta,Hyundai,2019,92483,Diesel,Manual,11969,678000.0,Agra
251,Hyundai Creta,Hyundai,2019,167966,Diesel,Manual,13347,600000.0,Agra
252,Audi Q3,Audi,2013,103373,Diesel,Auto,51710,582000.0,Agra
253,Hyundai GRAND I10 NIOS,Hyundai,2020,65571,Petrol,Manual,7467,423000.00000000006,Agra
254,Honda Amaze,Honda,2018,144830,Diesel,Manual,8720,392000.0,Agra
255,Ford Ecosport,Ford,2017,110002,Diesel,Manual,8342,375000.0,Agra
256,Chevrolet Enjoy,Chevrolet,2013,113248,Diesel,Manual,10928,123000.0,Agra
257,Maruti Swift Dzire,Maruti,2015,39299,Petrol,Manual,7847,298000.0,Agra
258,Maruti Baleno,Maruti,2016,86455,Petrol,Manual,7786,350000.0,Agra
259,Maruti Vitara Brezza,Maruti,2017,106331,Diesel,Manual,12079,543000.0,Agra
260,Maruti Swift,Maruti,2013,9964,Petrol,Manual,12804,272000.0,Agra
261,Tata NEXON,Tata,2024,39056,Petrol,Manual,15410,900000.0,Agra
262,KIA SONET,KIA,2021,41988,Petrol,Manual,13434,761000.0,Agra
263,Mahindra XUV500,Mahindra,2015,83523,Diesel,Manual,14183,427000.0,Agra
264,Hyundai Elite i20,Hyundai,2016,201721,Diesel,Manual,9375,356000.0,Agra
265,Tata NEXON,Tata,2024,24724,Petrol,Manual,14657,856000.0,Agra
266,Honda Civic,Honda,2019,26631,Petrol,Auto,16266,950000.0,Agra
267,Maruti Grand Vitara,Maruti,2024,16098,Petrol,Manual,20222,1181000.0,Agra
268,Maruti Baleno,Maruti,2018,48531,Petrol,Manual,7644,433000.0,Agra
269,Honda City,Honda,2013,126540,Petrol,Manual,12616,268000.0,Agra
270,Maruti Wagon R 1.0,Maruti,2015,78066,Petrol,Manual,4687,178000.0,Agra
271,Mahindra XUV300,Mahindra,2021,60764,Petrol,Manual,9991,566000.0,Agra
272,Chevrolet Enjoy,Chevrolet,2015,186634,Diesel,Manual,4584,138000.0,Agra
273,Maruti Swift Dzire,Maruti,2015,35243,Diesel,Manual,11691,352000.0,Agra
274,Mahindra XUV500,Mahindra,2016,147207,Diesel,Manual,12482,474000.0,Agra
275,Hyundai i20,Hyundai,2011,111584,Petrol,Manual,12482,100000.0,Agra
276,Tata NEXON,Tata,2022,53199,Diesel,Manual,15599,911000.0,Agra
277,Hyundai Verna,Hyundai,2014,175394,Diesel,Manual,14357,305000.0,Agra
278,Maruti Ciaz,Maruti,2014,142000,Diesel,Manual,12663,269000.0,Agra
279,Maruti Swift,Maruti,2019,22876,Petrol,Manual,8562,485000.0,Agra
280,Tata ALTROZ,Tata,2022,52324,Petrol,Manual,11757,666000.0,Agra
281,Ford Ecosport,Ford,2019,128547,Diesel,Manual,12034,541000.0,Agra
282,Honda Jazz,Honda,2017,63145,Petrol,Manual,6843,350000.0,Agra
283,Mahindra BOLERO NEO,Mahindra,2024,4733,Diesel,Manual,18287,1068000.0,Agra
284,Hyundai Creta,Hyundai,2021,54608,Petrol,Manual,19109,1116000.0,Agra
285,Maruti Baleno,Maruti,2019,44624,Petrol,Manual,8032,455000.0,Agra
286,KIA CARENS,KIA,2022,104000,Diesel,Manual,21090,970000.0,Agra
287,Maruti Dzire,Maruti,2018,118492,Petrol,Auto,9076,408000.0,Agra
288,Maruti Vitara Brezza,Maruti,2017,115024,Diesel,Manual,10677,480000.0,Agra
289,Honda City,Honda,2016,41809,Petrol,Manual,9142,411000.00000000006,Agra
290,Toyota Etios Liva,Toyota,2015,40553,Petrol,Manual,6373,242000.0,Agra
291,Hyundai VENUE,Hyundai,2021,100421,Diesel,Manual,15571,700000.0,Agra
292,Tata Tiago,Tata,2022,48682,Petrol,Manual,8791,498000.00000000006,Agra
293,Tata Tiago,Tata,2019,82198,Petrol,Manual,6161,349000.0,Agra
294,Honda WR-V,Honda,2017,112928,Diesel,Manual,8609,387000.0,Agra
295,Maruti Vitara Brezza,Maruti,2017,87749,Diesel,Manual,10789,485000.0,Agra
296,Hyundai Verna,Hyundai,2014,156094,Diesel,Auto,15723,334000.0,Agra
297,Maruti Dzire,Maruti,2020,66955,Petrol,Manual,9074,514000.0,Agra
298,Maruti Vitara Brezza,Maruti,2018,66160,Diesel,Manual,9462,484000.0,Agra
299,Tata NEXON,Tata,2022,15686,Petrol,Manual,14034,795000.0,Agra
300,Tata NEXON,Tata,2024,12741,Diesel,Manual,16112,941000.0,Agra
301,Maruti Vitara Brezza,Maruti,2021,79258,Petrol,Manual,9656,547000.0,Agra
302,KIA SELTOS,KIA,2023,25614,Petrol,Manual,19708,1151000.0,Agra
303,Maruti Vitara Brezza,Maruti,2019,95330,Diesel,Auto,10415,590000.0,Agra
304,Hyundai VENUE,Hyundai,2024,10237,Petrol,Manual,15153,885000.0,Agra
305,Renault Lodgy,Renault,2017,75122,Diesel,Manual,7786,350000.0,Agra
306,Volkswagen Vento,Volkswagen,2015,124935,Diesel,Auto,10130,305000.0,Agra
307,Hyundai NEW SANTRO,Hyundai,2018,61669,Petrol,Manual,5578,316000.0,Agra
308,Mahindra XUV700,Mahindra,2022,42129,Petrol,Auto,25752,1504000.0,Agra
309,MG ASTOR,MG,2021,72722,Petrol,Auto,13240,750000.0,Agra
310,Maruti Alto,Maruti,2022,45796,Petrol,Manual,6178,350000.0,Agra
311,Hyundai NEW I20,Hyundai,2020,105612,Petrol,Auto,14615,657000.0,Agra
312,Honda City,Honda,2015,154733,Diesel,Manual,10263,309000.0,Agra
313,Tata NEXON,Tata,2018,129149,Diesel,Manual,10677,480000.0,Agra
314,Tata Hexa,Tata,2018,79013,Diesel,Manual,11515,589000.0,Agra
315,Maruti Grand Vitara,Maruti,2024,20807,Petrol,Manual,18150,1060000.0,Agra
