,car_name,brand,year_of_manufacture,distance_driven,fuel_type,transmission_type,emi,price,city
9047,Maruti Ciaz,Maruti,2022,19893,Petrol,Auto,13286,753000.0,Mumbai
9048,Volkswagen Polo,Volkswagen,2014,70277,Petrol,Manual,9560,288000.0,Mumbai
9049,Maruti New Wagon-R,Maruti,2019,4694,Petrol,Manual,6902,391000.0,Mumbai
9050,Maruti Wagon R 1.0,Maruti,2015,120980,Petrol,Auto,5429,206000.0,Mumbai
9051,Tata NEXON,Tata,2020,32738,Petrol,Manual,9999,566000.0,Mumbai
9052,Tata TIGOR,Tata,2017,35578,Petrol,Auto,7136,365000.0,Mumbai
9053,Maruti Wagon R 1.0,Maruti,2016,15712,Petrol,Auto,5632,253000.0,Mumbai
9054,Tata Tiago,Tata,2017,55603,CNG,Manual,9128,347000.0,Mumbai
9055,Fiat Punto EVO,Fiat,2016,60364,Petrol,Manual,4728,213000.0,Mumbai
9056,Mahindra XUV300,Mahindra,2021,46170,Petrol,Auto,12286,696000.0,Mumbai
9057,Jeep Compass,Jeep,2021,53793,Petrol,Auto,24228,1415000.0,Mumbai
9058,Volkswagen Polo,Volkswagen,2016,58567,Petrol,Manual,7305,328000.0,Mumbai
9059,Maruti Baleno,Maruti,2018,94645,Petrol,Manual,7764,440000.00000000006,Mumbai
9060,Maruti Alto 800,Maruti,2016,42927,Petrol,Manual,4849,218000.00000000003,Nashik
9061,Maruti Wagon R 1.0,Maruti,2016,86530,Petrol,Manual,5583,251000.0,Nashik
9062,Maruti Swift Dzire,Maruti,2016,136220,Petrol,Manual,7563,340000.0,Nashik
9063,Hyundai Elite i20,Hyundai,2015,113326,Diesel,Manual,12655,381000.0,Nashik
9064,Nissan Micra Active,Nissan,2016,67823,Petrol,Manual,5205,234000.0,Nashik
9065,Tata Tiago,Tata,2022,71291,Petrol,Manual,9603,544000.0,Nashik
9066,Maruti XL6,Maruti,2022,56730,Petrol,Auto,19280,1126000.0,Nashik
9067,Hyundai Grand i10,Hyundai,2014,56673,Petrol,Auto,9798,295000.0,Nashik
9068,Honda City,Honda,2015,156844,Diesel,Manual,13319,401000.0,Nashik
9069,Honda Amaze,Honda,2017,128366,Diesel,Manual,6562,295000.0,Nashik
9070,Maruti IGNIS,Maruti,2019,38836,Petrol,Manual,6426,364000.0,Nashik
9071,Volkswagen Vento,Volkswagen,2012,137850,Diesel,Manual,6426,211000.0,Nashik
9072,Hyundai i20,Hyundai,2013,71497,Petrol,Manual,10356,220000.00000000003,Nashik
9073,Maruti Wagon R 1.0,Maruti,2017,68458,Petrol,Manual,5172,233000.0,Nashik
9074,Hyundai Elite i20,Hyundai,2014,71885,Diesel,Manual,16476,350000.0,Nashik
9075,Jeep Compass,Jeep,2017,98643,Diesel,Manual,20460,941000.0,Nashik
9076,Chevrolet Sail,Chevrolet,2015,68663,Diesel,Manual,6809,205000.0,Nashik
9077,Mahindra BOLERO NEO,Mahindra,2023,113116,Diesel,Manual,16683,750000.0,Nashik
